MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
1,23,5,MSP,PHX,-2.0,13.0,1276,0,2015
1,2,5,RAP,SLC,-6.0,32.0,508,0,2015
1,8,4,STX,MIA,-5.0,9.0,1139,0,2015
1,16,5,CLT,ATL,6.0,14.0,226,0,2015
1,11,7,ATL,BDL,0.0,18.0,859,0,2015
1,30,5,PHX,TUL,81.0,13.0,935,1,2015
1,7,3,JFK,MSY,-4.0,18.0,1182,0,2015
1,7,3,SDF,TPA,-4.0,9.0,727,0,2015
1,13,2,LAX,DEN,-6.0,10.0,862,0,2015
1,29,4,DAL,AUS,-5.0,11.0,189,0,2015
1,22,4,TPA,ATL,-3.0,27.0,406,0,2015
1,13,2,LGA,MDW,8.0,37.0,725,0,2015
1,28,3,ISP,BWI,15.0,12.0,220,0,2015
1,4,7,ATL,PBI,-5.0,102.0,545,1,2015
1,25,7,PHL,PBI,-8.0,33.0,951,0,2015
1,20,2,LGA,CLT,-7.0,22.0,544,0,2015
1,24,6,DTW,CIU,-1.0,12.0,284,0,2015
1,1,4,JAX,DFW,31.0,13.0,918,1,2015
1,4,7,BOS,MDW,184.0,14.0,861,1,2015
1,10,6,EWR,PBI,-1.0,15.0,1023,0,2015
1,26,1,SAN,SJC,27.0,7.0,417,1,2015
1,9,5,ORD,OKC,104.0,17.0,693,1,2015
1,19,1,DEN,FAT,-8.0,18.0,844,0,2015
1,5,1,PDX,SJC,-4.0,14.0,569,0,2015
1,10,6,ATW,ORD,-21.0,7.0,160,0,2015
1,9,5,STL,DFW,-7.0,11.0,550,0,2015
1,25,7,LIT,IAH,-1.0,11.0,374,0,2015
1,25,7,BNA,MCO,-3.0,8.0,616,0,2015
1,29,4,HIB,MSP,-20.0,39.0,174,0,2015
1,8,4,ORD,SJU,4.0,15.0,2072,0,2015
1,15,4,PHX,MSP,-3.0,12.0,1276,0,2015
1,22,4,DEN,SNA,-4.0,12.0,846,0,2015
1,24,6,MSY,MCI,-8.0,6.0,689,0,2015
1,14,3,MSP,GRB,-1.0,10.0,252,0,2015
1,15,4,STT,JFK,-5.0,13.0,1623,0,2015
1,10,6,LGA,DAL,-5.0,11.0,1381,0,2015
1,27,2,SFO,LAX,-5.0,29.0,337,0,2015
1,8,4,CVG,FLL,-4.0,26.0,932,0,2015
1,26,1,PHL,ORD,6.0,69.0,678,1,2015
1,29,4,SJU,FLL,0.0,9.0,1046,0,2015
1,11,7,ITO,HNL,30.0,10.0,216,1,2015
1,6,2,BIL,DEN,-1.0,10.0,455,0,2015
1,6,2,LGA,BOS,-2.0,74.0,184,1,2015
1,19,1,DEN,LAR,-7.0,10.0,113,0,2015
1,21,3,LAX,BOS,-10.0,15.0,2611,0,2015
1,29,4,MDW,MCI,2.0,17.0,405,0,2015
1,22,4,BWI,TPA,-4.0,11.0,842,0,2015
1,30,5,DFW,LGA,3.0,23.0,1389,1,2015
1,6,2,LAS,SAT,49.0,12.0,1069,1,2015
