FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
1,MSP,PHX
2,RAP,SLC
3,STX,MIA
4,CLT,ATL
5,ATL,BDL
6,PHX,TUL
7,JFK,MSY
8,SDF,TPA
9,LAX,DEN
10,DAL,AUS
11,TPA,ATL
12,LGA,MDW
13,ISP,BWI
14,ATL,PBI
15,PHL,PBI
16,LGA,CLT
17,DTW,CIU
18,JAX,DFW
19,BOS,MDW
20,EWR,PBI
21,SAN,SJC
22,ORD,OKC
23,DEN,FAT
24,PDX,SJC
25,ATW,ORD
26,STL,DFW
27,LIT,IAH
28,BNA,MCO
29,HIB,MSP
30,ORD,SJU
31,PHX,MSP
32,DEN,SNA
33,MSY,MCI
34,MSP,GRB
35,STT,JFK
36,LGA,DAL
37,SFO,LAX
38,CVG,FLL
39,PHL,ORD
40,SJU,FLL
41,ITO,HNL
42,BIL,DEN
43,LGA,BOS
44,DEN,LAR
45,LAX,BOS
46,MDW,MCI
47,BWI,TPA
48,DFW,LGA
49,LAS,SAT
50,ATL,TRI
51,SDF,ATL
52,LAS,MKE
53,IAH,IND
54,TXK,DFW
55,ATL,CMH
56,SFO,FLL
57,DEN,DFW
58,EWR,DFW
59,MIA,ORD
60,ORD,TPA
61,PDX,SLC
62,LAX,BOS
63,ATL,SGF
64,DAL,ATL
65,ORD,GRB
66,SNA,DEN
67,IAH,SAN
68,DCA,ATL
69,ATL,PIT
70,OMA,MSP
71,ABY,ATL
72,ATL,GRK
73,COU,ORD
74,MCO,ATL
75,FAY,ATL
76,BWI,RDU
77,SJU,TPA
78,ATL,MDW
79,CLT,ROC
80,DEN,GEG
81,PHX,IAH
82,AEX,DFW
83,LAX,CLT
84,DTW,MIA
85,ATL,BOS
86,COS,IAH
87,ONT,OAK
88,LAS,PHX
89,ATL,MCI
90,TPA,LGA
91,SFO,TUS
92,BOS,MCO
93,BNA,CMH
94,DCA,STL
95,CLT,JAX
96,BWI,SLC
97,LAX,LAS
98,PHX,DTW
99,SFO,JFK
100,SCC,BRW
101,BWI,CHS
102,DFW,DTW
103,OAK,LAS
104,ATL,DCA
105,BOS,ATL
106,SAV,LGA
107,SEA,DEN
108,ATL,AVL
109,IAH,MCI
110,IAH,LGA
111,CLT,IAH
112,BWI,MHT
113,MDW,DEN
114,DEN,TPA
115,SLC,MDW
116,BWI,CMH
117,LFT,IAH
118,DFW,CVG
119,JFK,DTW
120,AUS,LAS
121,MDW,PIT
122,FLL,BWI
123,SMF,SAN
124,ATL,FLL
125,ORD,LAX
126,DEN,SFO
127,SMF,LAX
128,LAX,BOS
129,MCO,BOS
130,CID,DTW
131,ABQ,BWI
132,PHX,AUS
133,MSY,MDW
134,SLC,ORD
135,LEX,ORD
136,MDW,DTW
137,SAN,OAK
138,JFK,MCO
139,DTW,MCO
140,SAT,ATL
141,IND,DFW
142,TVC,ORD
143,SLC,PHX
144,DFW,SGF
145,FAY,ATL
146,IAH,HRL
147,BTM,SLC
148,IAH,RIC
149,DFW,ORD
150,LAS,EWR
151,IAH,CLT
152,DFW,GRR
153,PHX,MCO
154,ABQ,JFK
155,MCO,BQN
156,FLL,HPN
157,SFO,SBA
158,RDU,IAH
159,MCO,MDW
160,MSN,ORD
161,ASE,LAX
162,SNA,DEN
