FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
1,1,23,5,-2.0,13.0,1276,0,2015
2,1,2,5,-6.0,32.0,508,0,2015
3,1,8,4,-5.0,9.0,1139,0,2015
4,1,16,5,6.0,14.0,226,0,2015
5,1,11,7,0.0,18.0,859,0,2015
6,1,30,5,81.0,13.0,935,1,2015
7,1,7,3,-4.0,18.0,1182,0,2015
8,1,7,3,-4.0,9.0,727,0,2015
9,1,13,2,-6.0,10.0,862,0,2015
10,1,29,4,-5.0,11.0,189,0,2015
11,1,22,4,-3.0,27.0,406,0,2015
12,1,13,2,8.0,37.0,725,0,2015
13,1,28,3,15.0,12.0,220,0,2015
14,1,4,7,-5.0,102.0,545,1,2015
15,1,25,7,-8.0,33.0,951,0,2015
16,1,20,2,-7.0,22.0,544,0,2015
17,1,24,6,-1.0,12.0,284,0,2015
18,1,1,4,31.0,13.0,918,1,2015
19,1,4,7,184.0,14.0,861,1,2015
20,1,10,6,-1.0,15.0,1023,0,2015
21,1,26,1,27.0,7.0,417,1,2015
22,1,9,5,104.0,17.0,693,1,2015
23,1,19,1,-8.0,18.0,844,0,2015
24,1,5,1,-4.0,14.0,569,0,2015
25,1,10,6,-21.0,7.0,160,0,2015
26,1,9,5,-7.0,11.0,550,0,2015
27,1,25,7,-1.0,11.0,374,0,2015
28,1,25,7,-3.0,8.0,616,0,2015
29,1,29,4,-20.0,39.0,174,0,2015
30,1,8,4,4.0,15.0,2072,0,2015
31,1,15,4,-3.0,12.0,1276,0,2015
32,1,22,4,-4.0,12.0,846,0,2015
33,1,24,6,-8.0,6.0,689,0,2015
34,1,14,3,-1.0,10.0,252,0,2015
35,1,15,4,-5.0,13.0,1623,0,2015
36,1,10,6,-5.0,11.0,1381,0,2015
37,1,27,2,-5.0,29.0,337,0,2015
38,1,8,4,-4.0,26.0,932,0,2015
39,1,26,1,6.0,69.0,678,1,2015
40,1,29,4,0.0,9.0,1046,0,2015
41,1,11,7,30.0,10.0,216,1,2015
42,1,6,2,-1.0,10.0,455,0,2015
43,1,6,2,-2.0,74.0,184,1,2015
44,1,19,1,-7.0,10.0,113,0,2015
45,1,21,3,-10.0,15.0,2611,0,2015
46,1,29,4,2.0,17.0,405,0,2015
47,1,22,4,-4.0,11.0,842,0,2015
48,1,30,5,3.0,23.0,1389,1,2015
49,1,6,2,49.0,12.0,1069,1,2015
50,1,2,5,-3.0,13.0,227,0,2015
51,1,18,7,-9.0,21.0,321,0,2015
52,1,9,5,-2.0,15.0,1524,0,2015
53,1,30,5,-8.0,15.0,844,0,2015
54,1,4,7,30.0,9.0,181,1,2015
55,1,29,4,1.0,12.0,447,0,2015
56,1,31,6,2.0,17.0,2583,0,2015
57,1,19,1,48.0,14.0,641,1,2015
58,1,28,3,5.0,22.0,1372,0,2015
59,1,26,1,20.0,9.0,1197,1,2015
60,1,27,2,-1.0,10.0,1012,0,2015
61,1,10,6,-8.0,9.0,630,0,2015
62,1,5,1,0.0,10.0,2611,0,2015
63,1,18,7,35.0,11.0,563,1,2015
64,1,20,2,36.0,16.0,721,1,2015
65,1,12,1,10.0,34.0,173,1,2015
66,1,10,6,16.0,8.0,846,0,2015
67,1,3,6,5.0,24.0,1303,0,2015
68,1,10,6,-1.0,8.0,547,0,2015
69,1,28,3,-5.0,23.0,526,1,2015
70,1,28,3,-7.0,11.0,282,0,2015
71,1,24,6,-11.0,12.0,145,0,2015
72,1,15,4,64.0,14.0,803,1,2015
73,1,1,4,100.0,12.0,315,1,2015
74,1,17,6,-6.0,10.0,404,0,2015
75,1,8,4,-7.0,14.0,331,0,2015
76,1,26,1,-3.0,25.0,255,0,2015
77,1,14,3,-5.0,23.0,1237,0,2015
78,1,25,7,-5.0,13.0,591,0,2015
79,1,24,6,1.0,24.0,573,0,2015
80,1,10,6,-2.0,13.0,836,0,2015
81,1,13,2,-5.0,22.0,1009,0,2015
82,1,30,5,16.0,11.0,285,1,2015
83,1,14,3,-1.0,13.0,2125,0,2015
84,1,24,6,-3.0,15.0,1145,0,2015
85,1,2,5,8.0,21.0,946,0,2015
86,1,3,6,6.0,18.0,809,1,2015
87,1,17,6,-1.0,6.0,362,0,2015
88,1,7,3,-8.0,15.0,255,0,2015
89,1,30,5,-2.0,13.0,692,0,2015
90,1,19,1,8.0,24.0,1010,1,2015
91,1,2,5,97.0,16.0,751,1,2015
92,1,2,5,-6.0,24.0,1121,0,2015
93,1,25,7,0.0,8.0,337,0,2015
94,1,5,1,-8.0,10.0,719,0,2015
95,1,15,4,-6.0,12.0,328,0,2015
96,1,15,4,8.0,10.0,1865,0,2015
97,1,20,2,0.0,20.0,236,0,2015
98,1,26,1,-4.0,18.0,1671,0,2015
99,1,30,5,50.0,14.0,2586,1,2015
100,1,24,6,59.0,3.0,204,1,2015
101,1,19,1,-3.0,8.0,472,0,2015
102,1,13,2,83.0,14.0,986,1,2015
103,1,19,1,12.0,8.0,407,0,2015
104,1,29,4,-4.0,19.0,547,1,2015
105,1,16,5,-3.0,16.0,946,0,2015
106,1,2,5,16.0,13.0,722,0,2015
107,1,19,1,-3.0,13.0,1024,0,2015
108,1,19,1,-2.0,18.0,164,0,2015
109,1,30,5,27.0,15.0,643,1,2015
110,1,2,5,5.0,16.0,1416,0,2015
111,1,1,4,-2.0,17.0,912,1,2015
112,1,4,7,20.0,7.0,377,1,2015
113,1,15,4,-2.0,10.0,895,0,2015
114,1,5,1,25.0,10.0,1506,1,2015
115,1,14,3,-6.0,18.0,1259,0,2015
116,1,31,6,45.0,7.0,337,1,2015
117,1,5,1,-2.0,11.0,201,0,2015
118,1,25,7,0.0,17.0,812,0,2015
119,1,29,4,0.0,27.0,509,0,2015
120,1,4,7,0.0,13.0,1090,0,2015
121,1,3,6,34.0,6.0,402,1,2015
122,1,19,1,12.0,14.0,925,1,2015
123,1,12,1,-1.0,17.0,480,0,2015
124,1,21,3,22.0,17.0,581,0,2015
125,1,17,6,-3.0,10.0,1744,0,2015
126,1,14,3,11.0,12.0,967,0,2015
127,1,23,5,-3.0,13.0,373,0,2015
128,1,22,4,-7.0,9.0,2611,0,2015
129,1,22,4,-8.0,25.0,1121,0,2015
130,1,25,7,-10.0,11.0,430,0,2015
131,1,20,2,29.0,14.0,1670,1,2015
132,1,30,5,111.0,20.0,872,1,2015
133,1,24,6,0.0,7.0,825,0,2015
134,1,22,4,-11.0,75.0,1250,1,2015
135,1,20,2,-5.0,13.0,323,0,2015
136,1,12,1,213.0,24.0,228,1,2015
137,1,20,2,7.0,10.0,446,0,2015
138,1,11,7,-7.0,19.0,944,0,2015
139,1,18,7,67.0,11.0,957,1,2015
140,1,28,3,-4.0,14.0,874,0,2015
141,1,22,4,-8.0,10.0,761,1,2015
142,1,7,3,303.0,72.0,224,1,2015
143,1,22,4,11.0,14.0,507,0,2015
144,1,14,3,22.0,19.0,364,1,2015
145,1,30,5,8.0,10.0,331,1,2015
146,1,22,4,29.0,13.0,295,1,2015
147,1,5,1,-9.0,29.0,358,0,2015
148,1,31,6,-3.0,20.0,1157,0,2015
149,1,17,6,-7.0,11.0,802,0,2015
150,1,10,6,6.0,18.0,2227,0,2015
151,1,29,4,-3.0,18.0,912,0,2015
152,1,13,2,-8.0,19.0,931,0,2015
153,1,29,4,-4.0,32.0,1849,0,2015
154,1,3,6,3.0,9.0,1826,0,2015
155,1,5,1,24.0,13.0,1129,1,2015
156,1,29,4,0.0,13.0,1097,0,2015
157,1,12,1,-10.0,26.0,262,0,2015
158,1,15,4,-9.0,19.0,1042,0,2015
159,1,8,4,-7.0,11.0,990,0,2015
160,1,3,6,63.0,15.0,108,1,2015
161,1,30,5,49.0,8.0,737,1,2015
162,1,11,7,-4.0,9.0,846,0,2015
163,1,3,6,-6.0,25.0,222,0,2015
164,1,19,1,-10.0,16.0,147,0,2015
165,1,20,2,-5.0,10.0,281,0,2015
166,1,22,4,-3.0,15.0,270,0,2015
167,1,11,7,-1.0,18.0,545,0,2015
168,1,1,4,26.0,9.0,612,1,2015
169,1,7,3,-6.0,12.0,585,0,2015
170,1,9,5,27.0,18.0,489,1,2015
171,1,9,5,-6.0,16.0,224,0,2015
172,1,17,6,13.0,12.0,937,0,2015
173,1,20,2,-10.0,46.0,557,1,2015
174,1,13,2,5.0,31.0,1011,0,2015
175,1,12,1,1.0,21.0,373,0,2015
176,1,27,2,-7.0,12.0,1299,0,2015
177,1,12,1,-7.0,15.0,216,0,2015
178,1,11,7,20.0,11.0,813,0,2015
179,1,13,2,-6.0,10.0,936,0,2015
180,1,26,1,-9.0,10.0,157,0,2015
181,1,8,4,-2.0,14.0,731,0,2015
182,1,30,5,-9.0,14.0,689,0,2015
183,1,20,2,-7.0,11.0,605,0,2015
184,1,23,5,-5.0,8.0,251,0,2015
185,1,31,6,-4.0,10.0,802,0,2015
186,1,21,3,-10.0,9.0,667,0,2015
187,1,17,6,10.0,11.0,825,0,2015
188,1,15,4,24.0,9.0,1166,0,2015
189,1,22,4,-7.0,14.0,1428,0,2015
190,1,9,5,-13.0,13.0,247,0,2015
191,1,22,4,13.0,13.0,632,0,2015
192,1,23,5,19.0,40.0,106,1,2015
193,1,9,5,-2.0,13.0,680,0,2015
194,1,26,1,-5.0,10.0,937,0,2015
195,1,25,7,-7.0,18.0,762,0,2015
196,1,21,3,-4.0,10.0,1674,0,2015
197,1,4,7,0.0,33.0,270,0,2015
198,1,6,2,-5.0,20.0,200,0,2015
199,1,21,3,-5.0,15.0,957,0,2015
200,1,21,3,-2.0,16.0,1874,0,2015
201,1,20,2,9.0,23.0,780,0,2015
202,1,26,1,-4.0,7.0,715,0,2015
203,1,5,1,22.0,16.0,1235,1,2015
204,1,7,3,-1.0,14.0,281,0,2015
205,1,21,3,3.0,66.0,1671,1,2015
206,1,2,5,12.0,29.0,228,1,2015
207,1,10,6,-4.0,12.0,1199,0,2015
208,1,29,4,9.0,15.0,460,1,2015
209,1,9,5,23.0,8.0,616,1,2015
210,1,29,4,0.0,19.0,399,0,2015
211,1,13,2,16.0,7.0,255,0,2015
212,1,31,6,76.0,13.0,937,1,2015
213,1,29,4,19.0,21.0,2562,0,2015
214,1,23,5,-5.0,14.0,321,0,2015
215,1,1,4,14.0,8.0,239,0,2015
216,1,28,3,-7.0,16.0,651,0,2015
217,1,20,2,8.0,15.0,775,0,2015
218,1,13,2,-2.0,12.0,1126,0,2015
219,1,30,5,0.0,41.0,236,1,2015
220,1,23,5,-4.0,9.0,680,0,2015
221,1,21,3,-10.0,30.0,1460,0,2015
222,1,14,3,-2.0,17.0,2248,0,2015
223,1,26,1,36.0,14.0,852,1,2015
224,1,8,4,77.0,46.0,1514,1,2015
225,1,1,4,93.0,21.0,651,1,2015
226,1,20,2,1.0,14.0,365,0,2015
227,1,3,6,7.0,39.0,1096,0,2015
228,1,4,7,0.0,28.0,1124,0,2015
229,1,4,7,8.0,85.0,347,1,2015
230,1,11,7,5.0,21.0,602,0,2015
231,1,6,2,22.0,11.0,719,0,2015
232,1,26,1,4.0,9.0,587,0,2015
