FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
200001,SDF,EWR
200002,PIT,ATL
200003,SAN,PHX
200004,SAN,LAX
200005,SFO,PHX
200006,ATL,SEA
200007,DTW,FLL
200008,CLE,LGA
200009,LAX,LAS
200010,SEA,GEG
200011,SJC,PHX
200012,MKE,SFO
200013,LAX,JFK
200014,DAL,LGA
200015,EWR,ORD
200016,FLL,IAH
200017,KOA,HNL
200018,LAX,KOA
200019,ORD,SDF
200020,DTW,PHX
200021,FCA,SLC
200022,CLT,ORF
200023,ATL,MLB
200024,MHT,TPA
200025,PBI,IAH
200026,TLH,DFW
200027,IAH,ELP
200028,ORD,ATL
200029,DFW,IND
200030,DFW,PIA
200031,ORD,LGA
200032,MIA,ATL
200033,XNA,ATL
200034,MSY,JFK
200035,SEA,LAX
200036,RSW,MDW
200037,ATL,MCI
200038,LAS,ELP
200039,LFT,IAH
200040,IAH,BOS
200041,IAH,DCA
200042,SAV,DFW
200043,DFW,TPA
200044,PHX,SJC
200045,FLL,SJU
200046,DFW,CRW
200047,DAL,LIT
200048,DFW,LGA
200049,MSN,ORD
200050,LAX,MIA
200051,RDU,MDW
200052,SJC,SEA
200053,GSP,DFW
200054,AGS,ATL
200055,SEA,BLI
200056,MSP,RSW
200057,MSY,DAL
200058,SLC,LAX
200059,DEN,PDX
200060,MDW,ATL
200061,DTW,LAS
200062,MCO,CMH
200063,LAS,LIT
200064,SFO,JFK
200065,FLL,ATL
200066,ATL,MCO
200067,ORD,BWI
200068,ACY,RSW
200069,DEN,ORD
200070,DEN,MIA
200071,TUS,MSP
200072,HNL,IAH
200073,ORD,MSP
200074,DEN,BWI
200075,LAN,MSP
200076,DFW,DEN
200077,ATL,PBI
200078,EWR,IAH
200079,SEA,GEG
200080,CLE,MKE
200081,CLT,BDL
200082,DTW,DCA
200083,LAX,SLC
200084,COS,IAH
200085,SUN,SLC
200086,TPA,DTW
200087,LGA,CLE
200088,SAV,JFK
200089,BWI,MDW
200090,LGA,BOS
200091,BNA,RDU
200092,IAH,TUS
200093,ATL,MDW
200094,SNA,LAS
200095,HOU,SAN
200096,ORD,XNA
200097,LAX,LAS
200098,ATL,SAV
200099,LGA,CLT
200100,MCO,ORD
200101,SEA,FAI
200102,DFW,SNA
200103,FLL,ACY
200104,ORD,LNK
200105,OAK,LAS
200106,LGA,ATL
200107,LGA,DTW
200108,STL,SEA
200109,BOS,EWR
200110,GSO,DTW
200111,ATL,XNA
200112,HRL,HOU
200113,IAH,DTW
200114,ATL,GRB
200115,PHL,PBI
200116,CLE,RSW
200117,STL,MIA
200118,JAN,IAH
200119,MCO,PHL
200120,MLI,ORD
200121,CLT,ATL
200122,FLL,SJU
200123,IAH,MFE
200124,DEN,MCI
200125,GEG,LAX
200126,MSP,GEG
200127,BNA,ORD
200128,IAD,EWR
200129,AUS,SJC
200130,ALB,CLT
200131,MKE,DTW
200132,LAX,SLC
200133,LIH,HNL
200134,DFW,MIA
200135,MCO,BDL
200136,SLC,BTM
200137,ORD,DFW
200138,ORD,MCO
200139,PDX,SNA
200140,ORD,OMA
200141,SEA,DFW
200142,LAX,DEN
200143,IAH,LRD
200144,DTW,LGA
200145,MIA,LGA
200146,DEN,BOI
200147,BOS,STT
200148,LAX,SFO
200149,DEN,HLN
200150,MCO,DTW
200151,ORD,SNA
200152,EWR,PVD
200153,BET,ANC
200154,MSP,RDU
200155,MDW,FLL
200156,DAY,DFW
200157,MSP,IAH
200158,CMH,LAX
200159,DAL,MAF
200160,EWR,PHX
200161,CHA,ATL
200162,LAS,PDX
200163,LAX,ORD
200164,SNA,DFW
200165,SEA,ONT
200166,EWR,SNA
200167,MSN,DFW
200168,CMH,MDW
200169,STL,MCI
200170,HOU,MSY
200171,SLC,COS
200172,IND,MCO
200173,PHX,MCI
200174,BOS,PHX
200175,DTW,LGA
200176,DAL,BHM
200177,IAH,CRP
200178,CMH,MIA
200179,JFK,LAX
200180,LIH,PHX
200181,SGF,DFW
200182,LAS,ORD
200183,BOS,EWR
200184,PHL,PHX
200185,CLT,IAH
200186,SFO,LAX
200187,IAH,EWR
200188,ORF,MCO
200189,DCA,FLL
200190,LIT,ATL
200191,RIC,BOS
200192,SEA,LAX
200193,BMI,ORD
200194,PDX,BUR
200195,MCO,DFW
200196,SFO,JFK
200197,SMF,SFO
200198,PHX,DCA
200199,ORD,MCO
200200,LAX,DTW
200201,HNL,ITO
200202,BTR,DFW
200203,IAH,TPA
200204,DTW,RSW
200205,PDX,SNA
200206,CAK,ATL
200207,SFO,SNA
200208,DEN,MIA
200209,LGA,ATL
200210,MDW,STL
200211,LAX,FAT
200212,LAS,DEN
200213,ATL,CAK
200214,DVL,DEN
200215,MDW,FLL
200216,DFW,TUS
200217,IND,TPA
200218,ELP,PHX
200219,SAN,PDX
200220,CLT,ATL
200221,DEN,BIL
200222,PBI,CLT
200223,DTW,ABE
200224,AUS,HOU
200225,HOU,DAL
200226,PDX,SFO
200227,DFW,IND
200228,MGM,ATL
200229,SEA,COS
200230,PHX,PIT
200231,CAK,MCO
200232,PHL,LAX
200233,LAS,PHX
200234,STL,IAH
200235,OAK,PDX
200236,KOA,HNL
200237,BOS,BUF
200238,FSD,ORD
200239,SFO,SBA
200240,BWI,DTW
200241,SLC,LAS
200242,FAT,LAX
200243,PHX,BOI
200244,DCA,CLT
200245,CLE,LGA
200246,LAS,SMF
200247,SBA,SEA
200248,LGA,DFW
200249,SLC,PSP
200250,FLL,STL
200251,ATL,CAK
200252,SFO,DAL
200253,JFK,LAX
200254,CAE,DFW
200255,PHX,DEN
200256,TPA,PHX
200257,RSW,MDW
200258,MIA,DCA
200259,ORD,FLL
200260,LAX,JFK
200261,MDW,MCO
200262,ATL,LAS
200263,ATL,ECP
200264,SEA,ANC
200265,BOS,ORD
200266,ATL,LAX
200267,RSW,DCA
200268,OAK,LAS
200269,PHL,BOS
200270,DCA,FLL
200271,DTW,PHX
200272,MDW,OAK
200273,PHX,IAH
200274,MCI,PHX
200275,BWI,SAT
200276,RSW,ATL
200277,SAN,ATL
200278,SAT,ORD
200279,HSV,ATL
200280,SDF,ORD
200281,DFW,GSP
200282,SAN,OAK
200283,JFK,STT
200284,BOS,MCO
200285,DEN,ORD
200286,MCO,ORD
200287,ATL,ORD
200288,EWR,IAH
200289,JFK,ATL
200290,TPA,DCA
200291,MCO,PHL
200292,LGA,FLL
200293,TPA,FLL
200294,MCO,CLE
200295,CLT,PHX
200296,MSN,ORD
200297,DCA,DAL
200298,ORD,COU
200299,IAH,BRO
200300,FLL,LAX
200301,DFW,MLU
200302,TUS,SLC
200303,DFW,MCI
200304,RSW,STL
200305,IND,EWR
200306,LGA,ATL
200307,SFO,BOS
200308,AUS,CLT
200309,SFO,ACV
200310,OAK,ONT
200311,PHX,ATL
200312,TPA,JFK
200313,MSP,LAX
200314,DFW,IAH
200315,JFK,RSW
200316,LAX,HNL
200317,SFO,LAX
200318,GRK,DFW
200319,DCA,PBI
200320,DEN,BUR
200321,LGA,BOS
200322,LAS,LAX
200323,ELP,HOU
200324,MCO,ATL
200325,SLC,DEN
200326,BWI,PBI
200327,DTW,MSY
200328,SFO,SEA
200329,ORD,ICT
200330,RNO,PHX
200331,CLT,IAH
200332,CLE,ATL
200333,PHX,ATL
200334,DTW,LIT
200335,MSP,PHL
200336,LIH,LAX
200337,MIA,MSP
200338,MDW,FLL
200339,RIC,IAH
200340,PHX,SMF
200341,SJC,SNA
200342,CLE,MDW
200343,FLL,ATL
200344,SLC,CLT
200345,JFK,SFO
200346,TPA,ROC
200347,SMF,LAX
200348,CMH,JFK
200349,CID,ATL
200350,CLT,ORD
200351,LAX,KOA
200352,OMA,DEN
200353,BWI,FLL
200354,BWI,LAS
200355,ORD,MCO
200356,BQK,ATL
200357,CLL,DFW
200358,JFK,CLT
200359,EWR,DEN
200360,MIA,BOS
200361,LGA,MSY
200362,DEN,MIA
200363,ROC,ATL
200364,MOB,ORD
200365,BOS,CLE
