FLIGHT_ID,FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
200001,200001,2,13,5,-8.0,9.0,642,0,2015
200002,200002,2,3,2,-2.0,14.0,526,0,2015
200003,200003,2,6,5,9.0,7.0,304,0,2015
200004,200004,2,4,3,-7.0,12.0,109,0,2015
200005,200005,2,28,6,188.0,20.0,651,1,2015
200006,200006,2,28,6,-1.0,13.0,2182,0,2015
200007,200007,2,3,2,-5.0,21.0,1127,0,2015
200008,200008,2,10,2,-7.0,25.0,419,0,2015
200009,200009,2,21,6,0.0,16.0,236,0,2015
200010,200010,2,7,6,12.0,18.0,224,1,2015
200011,200011,2,26,4,0.0,9.0,621,0,2015
200012,200012,2,23,1,132.0,9.0,1845,1,2015
200013,200013,2,3,2,15.0,11.0,2475,1,2015
200014,200014,2,8,7,0.0,8.0,1381,0,2015
200015,200015,2,13,5,56.0,14.0,719,1,2015
200016,200016,2,21,6,-3.0,17.0,965,0,2015
200017,200017,2,15,7,1.0,8.0,163,0,2015
200018,200018,2,28,6,33.0,14.0,2504,1,2015
200019,200019,2,9,1,39.0,50.0,287,1,2015
200020,200020,2,24,2,1.0,20.0,1671,0,2015
200021,200021,2,19,4,-20.0,7.0,531,0,2015
200022,200022,2,24,2,-2.0,16.0,290,0,2015
200023,200023,2,16,1,-2.0,11.0,442,0,2015
200024,200024,2,1,7,-3.0,16.0,1204,0,2015
200025,200025,2,1,7,-16.0,11.0,956,0,2015
200026,200026,2,6,5,6.0,15.0,767,0,2015
200027,200027,2,9,1,8.0,24.0,667,0,2015
200028,200028,2,8,7,6.0,13.0,606,0,2015
200029,200029,2,1,7,32.0,15.0,761,1,2015
200030,200030,2,20,5,9.0,10.0,672,0,2015
200031,200031,2,11,3,-1.0,13.0,733,0,2015
200032,200032,2,13,5,-5.0,15.0,594,0,2015
200033,200033,2,7,6,-2.0,14.0,589,0,2015
200034,200034,2,9,1,-8.0,16.0,1182,0,2015
200035,200035,2,25,3,8.0,11.0,954,0,2015
200036,200036,2,7,6,3.0,9.0,1105,0,2015
200037,200037,2,20,5,10.0,14.0,692,0,2015
200038,200038,2,10,2,4.0,16.0,583,0,2015
200039,200039,2,26,4,-3.0,17.0,201,0,2015
200040,200040,2,13,5,-2.0,11.0,1597,0,2015
200041,200041,2,26,4,61.0,18.0,1208,1,2015
200042,200042,2,20,5,-2.0,17.0,925,1,2015
200043,200043,2,5,4,9.0,12.0,929,0,2015
200044,200044,2,6,5,-8.0,18.0,621,0,2015
200045,200045,2,21,6,53.0,13.0,1046,1,2015
200046,200046,2,11,3,-8.0,13.0,946,0,2015
200047,200047,2,26,4,8.0,11.0,296,0,2015
200048,200048,2,26,4,18.0,13.0,1389,1,2015
200049,200049,2,24,2,-5.0,21.0,108,0,2015
200050,200050,2,27,5,0.0,18.0,2342,0,2015
200051,200051,2,23,1,-3.0,7.0,632,0,2015
200052,200052,2,6,5,-11.0,8.0,697,0,2015
200053,200053,2,22,7,37.0,26.0,862,1,2015
200054,200054,2,13,5,21.0,13.0,143,1,2015
200055,200055,2,18,3,-6.0,13.0,93,0,2015
200056,200056,2,9,1,-6.0,21.0,1416,0,2015
200057,200057,2,22,7,0.0,7.0,436,0,2015
200058,200058,2,6,5,-3.0,14.0,590,0,2015
200059,200059,2,18,3,-1.0,15.0,991,0,2015
200060,200060,2,8,7,-4.0,13.0,591,0,2015
200061,200061,2,15,7,20.0,14.0,1749,0,2015
200062,200062,2,17,2,0.0,8.0,802,0,2015
200063,200063,2,22,7,63.0,11.0,1294,1,2015
200064,200064,2,3,2,-5.0,14.0,2586,0,2015
200065,200065,2,28,6,35.0,21.0,581,1,2015
200066,200066,2,19,4,0.0,13.0,404,0,2015
200067,200067,2,19,4,36.0,18.0,622,1,2015
200068,200068,2,14,6,183.0,32.0,982,1,2015
200069,200069,2,20,5,-5.0,12.0,888,0,2015
200070,200070,2,3,2,-5.0,22.0,1709,0,2015
200071,200071,2,22,7,8.0,9.0,1298,0,2015
