MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
2,3,2,PIT,ATL,-2.0,14.0,526,0,2015
2,6,5,SAN,PHX,9.0,7.0,304,0,2015
2,5,4,SFO,LAS,7.0,19.0,414,1,2015
2,1,7,MCO,MEM,35.0,7.0,684,1,2015
2,4,3,SAN,LAX,-7.0,12.0,109,0,2015
2,28,6,ATL,SEA,-1.0,13.0,2182,0,2015
2,3,2,DTW,FLL,-5.0,21.0,1127,0,2015
2,7,6,MKE,MCO,0.0,8.0,1066,0,2015
2,10,2,CLE,LGA,-7.0,25.0,419,0,2015
2,21,6,LAX,LAS,0.0,16.0,236,0,2015
2,7,6,SEA,GEG,12.0,18.0,224,1,2015
2,12,4,SAN,MDW,-5.0,29.0,1728,1,2015
2,26,4,SJC,PHX,0.0,9.0,621,0,2015
2,23,1,MKE,SFO,132.0,9.0,1845,1,2015
2,15,7,OAK,HNL,-14.0,29.0,2409,1,2015
2,28,6,DTW,MSP,66.0,19.0,528,1,2015
2,5,4,RSW,CLT,-7.0,11.0,600,0,2015
2,3,2,LAX,JFK,15.0,11.0,2475,1,2015
2,13,5,EWR,ORD,56.0,14.0,719,1,2015
2,21,6,FLL,IAH,-3.0,17.0,965,0,2015
2,15,7,KOA,HNL,1.0,8.0,163,0,2015
2,9,1,ORD,SDF,39.0,50.0,287,1,2015
2,24,2,DTW,PHX,1.0,20.0,1671,0,2015
2,19,4,FCA,SLC,-20.0,7.0,531,0,2015
2,24,2,CLT,ORF,-2.0,16.0,290,0,2015
2,1,7,PBI,IAH,-16.0,11.0,956,0,2015
2,22,7,DAL,MCO,33.0,14.0,973,1,2015
2,27,5,SLC,DEN,164.0,12.0,391,1,2015
2,9,1,IAH,ELP,8.0,24.0,667,0,2015
2,1,7,DFW,IND,32.0,15.0,761,1,2015
2,20,5,DFW,PIA,9.0,10.0,672,0,2015
2,13,5,MIA,ATL,-5.0,15.0,594,0,2015
2,7,6,XNA,ATL,-2.0,14.0,589,0,2015
2,9,1,MSY,JFK,-8.0,16.0,1182,0,2015
2,25,3,SEA,LAX,8.0,11.0,954,0,2015
2,7,6,RSW,MDW,3.0,9.0,1105,0,2015
2,20,5,ATL,MCI,10.0,14.0,692,0,2015
2,10,2,LAS,ELP,4.0,16.0,583,0,2015
2,26,4,LFT,IAH,-3.0,17.0,201,0,2015
2,24,2,BOS,ORD,49.0,22.0,867,1,2015
2,3,2,MHT,MCO,8.0,10.0,1142,0,2015
2,26,4,IAH,DCA,61.0,18.0,1208,1,2015
2,20,5,SAV,DFW,-2.0,17.0,925,1,2015
2,5,4,DFW,TPA,9.0,12.0,929,0,2015
2,21,6,SLC,DFW,20.0,17.0,989,1,2015
2,11,3,DFW,CRW,-8.0,13.0,946,0,2015
2,26,4,DAL,LIT,8.0,11.0,296,0,2015
2,14,6,BNA,IAH,-7.0,12.0,657,0,2015
2,24,2,MSN,ORD,-5.0,21.0,108,0,2015
2,27,5,LAX,MIA,0.0,18.0,2342,0,2015
2,23,1,RDU,MDW,-3.0,7.0,632,0,2015
2,6,5,SJC,SEA,-11.0,8.0,697,0,2015
2,13,5,AGS,ATL,21.0,13.0,143,1,2015
2,18,3,SEA,BLI,-6.0,13.0,93,0,2015
2,22,7,MSY,DAL,0.0,7.0,436,0,2015
2,15,7,DTW,LAS,20.0,14.0,1749,0,2015
2,17,2,MCO,CMH,0.0,8.0,802,0,2015
2,22,7,LAS,LIT,63.0,11.0,1294,1,2015
2,3,2,SFO,JFK,-5.0,14.0,2586,0,2015
2,28,6,FLL,ATL,35.0,21.0,581,1,2015
2,19,4,ATL,MCO,0.0,13.0,404,0,2015
2,20,5,TPA,FLL,-4.0,9.0,197,0,2015
2,19,4,ORD,BWI,36.0,18.0,622,1,2015
2,14,6,ACY,RSW,183.0,32.0,982,1,2015
2,20,5,DEN,ORD,-5.0,12.0,888,0,2015
2,3,2,DEN,MIA,-5.0,22.0,1709,0,2015
2,11,3,IAH,MFE,3.0,25.0,316,0,2015
2,22,7,TUS,MSP,8.0,9.0,1298,0,2015
2,27,5,HNL,IAH,3.0,25.0,3904,0,2015
2,17,2,ORD,MSP,25.0,17.0,334,1,2015
2,8,7,DEN,BWI,-4.0,10.0,1491,0,2015
2,2,1,LAN,MSP,60.0,10.0,455,1,2015
2,20,5,DFW,DEN,2.0,12.0,641,0,2015
2,23,1,ATL,PBI,1.0,18.0,545,0,2015
2,18,3,EWR,IAH,22.0,9.0,1400,0,2015
2,3,2,SEA,GEG,-3.0,11.0,224,0,2015
2,9,1,CLE,MKE,-8.0,27.0,328,1,2015
2,20,5,CLT,BDL,-6.0,34.0,644,0,2015
2,3,2,DTW,DCA,8.0,14.0,405,0,2015
2,24,2,COS,IAH,6.0,22.0,809,0,2015
2,3,2,TPA,DTW,-2.0,8.0,983,0,2015
2,6,5,LGA,CLE,-8.0,32.0,419,0,2015
2,18,3,SAV,JFK,-6.0,15.0,718,0,2015
2,21,6,BWI,MDW,11.0,34.0,611,1,2015
2,4,3,SEA,IAH,-10.0,13.0,1874,0,2015
2,18,3,LGA,BOS,-3.0,35.0,184,0,2015
2,26,4,BNA,RDU,-5.0,16.0,442,0,2015
2,23,1,IAH,TUS,-4.0,25.0,936,1,2015
2,25,3,ATL,MDW,36.0,11.0,591,1,2015
2,12,4,SNA,LAS,-1.0,10.0,226,0,2015
2,16,1,MSP,SEA,-1.0,48.0,1399,1,2015
2,24,2,HOU,SAN,-1.0,12.0,1313,0,2015
2,9,1,ORD,XNA,4.0,14.0,522,0,2015
2,7,6,LAX,LAS,13.0,6.0,236,0,2015
2,12,4,ATL,SAV,-3.0,21.0,214,0,2015
2,16,1,LGA,CLT,-3.0,16.0,544,0,2015
2,17,2,MCO,ORD,-6.0,12.0,1005,0,2015
2,27,5,IAD,CLE,1.0,21.0,288,0,2015
2,11,3,DFW,SNA,20.0,13.0,1205,0,2015
2,15,7,FLL,ACY,37.0,21.0,977,1,2015
2,18,3,ORD,LNK,93.0,14.0,466,1,2015
