FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
300001,MSP,ATL
300002,PHL,MSP
300003,DEN,PHX
300004,SEA,SAT
300005,IAH,PHX
300006,FLL,JFK
300007,PHX,SMF
300008,BWI,PHX
300009,SLC,HNL
300010,DTW,LGA
300011,JAN,IAH
300012,LAX,ORD
300013,MOB,ATL
300014,MSN,ATL
300015,MCO,MSP
300016,LAS,HOU
300017,SFO,MSP
300018,BOS,PHL
300019,PNS,IAH
300020,BWI,BNA
300021,MKE,TPA
300022,BOS,LAX
300023,DFW,SMF
300024,JFK,FLL
300025,ATL,MDT
300026,ORD,BOS
300027,CPR,DEN
300028,LAS,BUR
300029,FLL,CLT
300030,IND,SFO
300031,DCA,TPA
300032,LAX,MSP
300033,SEA,FAI
300034,CAE,LGA
300035,BDL,BWI
300036,MDW,MSP
300037,IND,LAX
300038,ATL,SAT
300039,IND,FLL
300040,LGA,PBI
300041,MDW,MCO
300042,RDM,LAX
300043,STL,DFW
300044,CLT,RIC
300045,CMH,ORD
300046,ORD,MSP
300047,DFW,SNA
300048,LGA,DTW
300049,LAS,LAX
300050,AUS,FLL
300051,CLE,ORD
300052,DFW,FLL
300053,LIH,HNL
300054,LAX,EWR
300055,ORD,ALB
300056,FLL,SJU
300057,LGA,RDU
300058,MHK,DFW
300059,LGA,BOS
300060,AUS,SFO
300061,DTW,ATL
300062,ATL,CID
300063,JAX,ATL
300064,ATL,MIA
300065,LGA,MSP
300066,ATL,MCO
300067,MKE,LGA
300068,CMI,ORD
300069,HOU,CRP
300070,BWI,FLL
300071,IAH,SAN
300072,TPA,DCA
300073,ATL,BTR
300074,LAS,DTW
300075,IAH,ORD
300076,BRO,IAH
300077,ORD,DEN
300078,IAH,DSM
300079,EWR,DCA
300080,PHX,ATL
300081,PBI,BOS
300082,CMH,RSW
300083,LGA,HOU
300084,CLT,DFW
300085,MCO,PHX
300086,BHM,DEN
300087,AEX,ATL
300088,DSM,DEN
300089,SLC,CPR
300090,MCO,JFK
300091,PHX,PDX
300092,SLC,ABQ
300093,DTW,RSW
300094,SAN,LAX
300095,LAS,ORD
300096,ATL,FLL
300097,LGA,BNA
300098,FLL,DCA
300099,ORD,PHX
300100,BWI,LAS
300101,FCA,SLC
300102,MCO,SAN
300103,MGM,ATL
