FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
300001,3,2,1,-3.0,10.0,907,0,2015
300002,3,18,3,-7.0,16.0,980,1,2015
300003,3,22,7,-9.0,14.0,602,0,2015
300004,3,10,2,9.0,15.0,1774,1,2015
300005,3,31,2,1.0,25.0,1009,0,2015
300006,3,11,3,-6.0,12.0,1069,0,2015
300007,3,29,7,-2.0,13.0,647,0,2015
300008,3,5,4,145.0,42.0,1999,1,2015
300009,3,21,6,-4.0,12.0,2994,0,2015
300010,3,23,1,-5.0,13.0,502,0,2015
300011,3,3,2,84.0,14.0,351,1,2015
300012,3,23,1,24.0,23.0,1744,1,2015
300013,3,19,4,2.0,11.0,302,0,2015
300014,3,2,1,4.0,9.0,707,0,2015
300015,3,9,1,-3.0,17.0,1310,0,2015
300016,3,14,6,10.0,9.0,1235,1,2015
300017,3,27,5,9.0,16.0,1589,1,2015
300018,3,23,1,-9.0,22.0,280,0,2015
300019,3,3,2,12.0,13.0,489,0,2015
300020,3,11,3,15.0,10.0,587,1,2015
300021,3,10,2,2.0,29.0,1075,1,2015
300022,3,26,4,20.0,15.0,2611,0,2015
300023,3,28,6,-4.0,14.0,1431,0,2015
300024,3,17,2,-5.0,35.0,1069,0,2015
300025,3,3,2,-2.0,19.0,620,0,2015
300026,3,16,1,0.0,12.0,867,0,2015
300027,3,26,4,-5.0,13.0,230,0,2015
300028,3,20,5,27.0,9.0,223,1,2015
300029,3,28,6,7.0,9.0,631,0,2015
300030,3,30,1,-10.0,11.0,1943,0,2015
300031,3,27,5,25.0,23.0,814,1,2015
300032,3,6,5,-1.0,29.0,1535,1,2015
300033,3,12,4,43.0,13.0,1533,1,2015
300034,3,31,2,-9.0,14.0,617,0,2015
300035,3,30,1,10.0,12.0,283,0,2015
300036,3,15,7,16.0,15.0,349,0,2015
300037,3,20,5,-5.0,12.0,1814,0,2015
300038,3,30,1,-5.0,17.0,874,0,2015
300039,3,20,5,38.0,8.0,1005,1,2015
300040,3,23,1,53.0,31.0,1035,1,2015
300041,3,19,4,-6.0,9.0,990,0,2015
300042,3,9,1,-17.0,15.0,726,0,2015
300043,3,8,7,-7.0,14.0,550,0,2015
300044,3,4,3,-2.0,19.0,257,0,2015
300045,3,11,3,1.0,9.0,296,0,2015
300046,3,30,1,0.0,34.0,334,1,2015
300047,3,17,2,-3.0,15.0,1205,0,2015
300048,3,11,3,118.0,24.0,502,1,2015
300049,3,29,7,90.0,30.0,236,1,2015
300050,3,17,2,61.0,11.0,1105,1,2015
300051,3,1,7,6.0,25.0,315,0,2015
300052,3,29,7,-3.0,16.0,1119,1,2015
300053,3,23,1,-10.0,7.0,102,0,2015
300054,3,15,7,-2.0,13.0,2454,0,2015
300055,3,22,7,1.0,11.0,723,0,2015
300056,3,4,3,-6.0,16.0,1046,0,2015
300057,3,30,1,13.0,35.0,431,1,2015
300058,3,31,2,-5.0,12.0,431,0,2015
300059,3,11,3,-6.0,18.0,184,0,2015
300060,3,1,7,4.0,12.0,1504,0,2015
300061,3,2,1,0.0,22.0,594,0,2015
300062,3,15,7,-5.0,18.0,694,0,2015
300063,3,9,1,-4.0,14.0,270,0,2015
300064,3,1,7,-1.0,14.0,594,0,2015
300065,3,2,1,110.0,23.0,1020,1,2015
300066,3,1,7,-2.0,37.0,404,1,2015
300067,3,12,4,-3.0,19.0,738,1,2015
300068,3,16,1,-10.0,10.0,135,0,2015
300069,3,28,6,-1.0,9.0,187,0,2015
300070,3,14,6,0.0,23.0,925,0,2015
300071,3,26,4,36.0,15.0,1303,1,2015
300072,3,5,4,5.0,10.0,814,0,2015
300073,3,29,7,-6.0,15.0,448,0,2015
300074,3,18,3,-3.0,15.0,1749,0,2015
300075,3,2,1,-1.0,21.0,925,1,2015
300076,3,22,7,-3.0,11.0,308,0,2015
300077,3,7,6,-3.0,18.0,888,0,2015
300078,3,27,5,-5.0,12.0,802,0,2015
300079,3,30,1,28.0,32.0,199,1,2015
300080,3,16,1,-4.0,18.0,1587,0,2015
300081,3,7,6,13.0,13.0,1197,0,2015
300082,3,13,5,-1.0,8.0,930,0,2015
300083,3,31,2,36.0,32.0,1428,1,2015
300084,3,29,7,-4.0,9.0,936,0,2015
300085,3,13,5,18.0,15.0,1849,0,2015
300086,3,6,5,-11.0,15.0,1083,0,2015
300087,3,23,1,-10.0,6.0,500,0,2015
300088,3,8,7,-7.0,11.0,589,0,2015
300089,3,5,4,-13.0,20.0,320,0,2015
300090,3,7,6,-2.0,20.0,944,0,2015
300091,3,6,5,-10.0,22.0,1009,0,2015
300092,3,28,6,-4.0,18.0,493,0,2015
300093,3,2,1,25.0,8.0,1084,0,2015
300094,3,7,6,-13.0,18.0,109,0,2015
300095,3,23,1,123.0,20.0,1514,1,2015
300096,3,27,5,5.0,13.0,581,1,2015
300097,3,24,2,0.0,39.0,764,0,2015
300098,3,3,2,-3.0,12.0,899,0,2015
300099,3,15,7,-7.0,13.0,1440,0,2015
300100,3,20,5,228.0,11.0,2106,1,2015
300101,3,1,7,-16.0,11.0,531,0,2015
300102,3,9,1,-4.0,11.0,2149,0,2015
300103,3,15,7,-4.0,13.0,147,0,2015
300104,3,11,3,-3.0,16.0,1372,0,2015
300105,3,14,6,-3.0,16.0,812,0,2015
300106,3,29,7,-8.0,13.0,1558,0,2015
300107,3,25,3,0.0,15.0,1010,0,2015
300108,3,22,7,0.0,13.0,896,0,2015
300109,3,22,7,0.0,24.0,414,1,2015
300110,3,11,3,16.0,44.0,342,1,2015
300111,3,2,1,39.0,11.0,1084,1,2015
300112,3,19,4,3.0,19.0,448,0,2015
300113,3,9,1,-8.0,10.0,667,0,2015
300114,3,16,1,-5.0,11.0,438,0,2015
300115,3,1,7,-5.0,21.0,414,0,2015
300116,3,16,1,13.0,26.0,337,0,2015
300117,3,30,1,16.0,13.0,1303,0,2015
300118,3,9,1,107.0,4.0,503,1,2015
300119,3,9,1,-2.0,14.0,2454,0,2015
300120,3,5,4,89.0,11.0,1464,1,2015
300121,3,17,2,-3.0,8.0,1014,0,2015
300122,3,3,2,29.0,10.0,484,1,2015
300123,3,19,4,-9.0,13.0,2520,0,2015
300124,3,26,4,0.0,16.0,438,0,2015
300125,3,30,1,-10.0,23.0,377,1,2015
300126,3,14,6,-2.0,19.0,224,0,2015
300127,3,29,7,-7.0,12.0,1055,0,2015
300128,3,2,1,-5.0,16.0,1947,0,2015
300129,3,30,1,-3.0,16.0,175,0,2015
300130,3,7,6,2.0,16.0,979,0,2015
300131,3,18,3,-5.0,18.0,459,0,2015
300132,3,7,6,15.0,16.0,745,0,2015
300133,3,1,7,360.0,9.0,997,1,2015
300134,3,5,4,-13.0,10.0,2355,0,2015
300135,3,19,4,-7.0,30.0,357,0,2015
300136,3,6,5,-4.0,12.0,1482,0,2015
300137,3,21,6,10.0,13.0,852,1,2015
300138,3,12,4,0.0,11.0,230,0,2015
300139,3,21,6,38.0,12.0,480,1,2015
300140,3,28,6,-2.0,9.0,273,0,2015
300141,3,15,7,-5.0,17.0,1750,1,2015
300142,3,30,1,-11.0,35.0,1452,0,2015
300143,3,2,1,-5.0,31.0,236,0,2015
300144,3,19,4,0.0,16.0,399,0,2015
300145,3,16,1,-9.0,8.0,129,0,2015
300146,3,15,7,-6.0,32.0,374,0,2015
300147,3,4,3,-3.0,19.0,164,0,2015
300148,3,13,5,-2.0,26.0,843,0,2015
300149,3,11,3,9.0,7.0,1262,0,2015
300150,3,11,3,-10.0,13.0,744,0,2015
300151,3,8,7,-6.0,10.0,1062,0,2015
300152,3,16,1,-10.0,37.0,419,0,2015
300153,3,18,3,-1.0,21.0,1182,0,2015
300154,3,19,4,-8.0,21.0,1192,0,2015
300155,3,21,6,9.0,13.0,583,0,2015
300156,3,10,2,-3.0,19.0,853,0,2015
300157,3,26,4,8.0,28.0,1482,1,2015
300158,3,6,5,-6.0,9.0,748,0,2015
300159,3,11,3,-5.0,15.0,304,0,2015
300160,3,13,5,-10.0,7.0,301,0,2015
300161,3,17,2,-8.0,9.0,771,0,2015
300162,3,19,4,-5.0,11.0,404,0,2015
300163,3,17,2,12.0,12.0,1749,0,2015
300164,3,22,7,-2.0,23.0,500,0,2015
300165,3,5,4,0.0,10.0,417,0,2015
300166,3,18,3,-5.0,22.0,214,0,2015
300167,3,3,2,50.0,49.0,948,1,2015
300168,3,19,4,-11.0,12.0,1623,0,2015
300169,3,13,5,-2.0,8.0,595,0,2015
300170,3,18,3,11.0,13.0,761,0,2015
300171,3,21,6,-2.0,15.0,192,0,2015
300172,3,5,4,27.0,12.0,1185,0,2015
300173,3,25,3,26.0,10.0,226,1,2015
