MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
3,2,1,MSP,ATL,-3.0,10.0,907,0,2015
3,18,3,PHL,MSP,-7.0,16.0,980,1,2015
3,22,7,DEN,PHX,-9.0,14.0,602,0,2015
3,10,2,SEA,SAT,9.0,15.0,1774,1,2015
3,31,2,IAH,PHX,1.0,25.0,1009,0,2015
3,11,3,FLL,JFK,-6.0,12.0,1069,0,2015
3,29,7,PHX,SMF,-2.0,13.0,647,0,2015
3,5,4,BWI,PHX,145.0,42.0,1999,1,2015
3,21,6,SLC,HNL,-4.0,12.0,2994,0,2015
3,23,1,DTW,LGA,-5.0,13.0,502,0,2015
3,3,2,JAN,IAH,84.0,14.0,351,1,2015
3,23,1,LAX,ORD,24.0,23.0,1744,1,2015
3,19,4,MOB,ATL,2.0,11.0,302,0,2015
3,2,1,MSN,ATL,4.0,9.0,707,0,2015
3,9,1,MCO,MSP,-3.0,17.0,1310,0,2015
3,14,6,LAS,HOU,10.0,9.0,1235,1,2015
3,27,5,SFO,MSP,9.0,16.0,1589,1,2015
3,23,1,BOS,PHL,-9.0,22.0,280,0,2015
3,3,2,PNS,IAH,12.0,13.0,489,0,2015
3,11,3,BWI,BNA,15.0,10.0,587,1,2015
3,10,2,MKE,TPA,2.0,29.0,1075,1,2015
3,26,4,BOS,LAX,20.0,15.0,2611,0,2015
3,28,6,DFW,SMF,-4.0,14.0,1431,0,2015
3,17,2,JFK,FLL,-5.0,35.0,1069,0,2015
3,3,2,ATL,MDT,-2.0,19.0,620,0,2015
3,16,1,ORD,BOS,0.0,12.0,867,0,2015
3,26,4,CPR,DEN,-5.0,13.0,230,0,2015
3,20,5,LAS,BUR,27.0,9.0,223,1,2015
3,28,6,FLL,CLT,7.0,9.0,631,0,2015
3,30,1,IND,SFO,-10.0,11.0,1943,0,2015
3,27,5,DCA,TPA,25.0,23.0,814,1,2015
3,6,5,LAX,MSP,-1.0,29.0,1535,1,2015
3,12,4,SEA,FAI,43.0,13.0,1533,1,2015
3,31,2,CAE,LGA,-9.0,14.0,617,0,2015
3,30,1,BDL,BWI,10.0,12.0,283,0,2015
3,15,7,MDW,MSP,16.0,15.0,349,0,2015
3,20,5,IND,LAX,-5.0,12.0,1814,0,2015
3,30,1,ATL,SAT,-5.0,17.0,874,0,2015
3,20,5,IND,FLL,38.0,8.0,1005,1,2015
3,23,1,LGA,PBI,53.0,31.0,1035,1,2015
3,19,4,MDW,MCO,-6.0,9.0,990,0,2015
3,9,1,RDM,LAX,-17.0,15.0,726,0,2015
3,8,7,STL,DFW,-7.0,14.0,550,0,2015
3,4,3,CLT,RIC,-2.0,19.0,257,0,2015
3,11,3,CMH,ORD,1.0,9.0,296,0,2015
3,30,1,ORD,MSP,0.0,34.0,334,1,2015
3,17,2,DFW,SNA,-3.0,15.0,1205,0,2015
3,11,3,LGA,DTW,118.0,24.0,502,1,2015
3,29,7,LAS,LAX,90.0,30.0,236,1,2015
3,17,2,AUS,FLL,61.0,11.0,1105,1,2015
3,1,7,CLE,ORD,6.0,25.0,315,0,2015
3,29,7,DFW,FLL,-3.0,16.0,1119,1,2015
3,23,1,LIH,HNL,-10.0,7.0,102,0,2015
3,15,7,LAX,EWR,-2.0,13.0,2454,0,2015
3,22,7,ORD,ALB,1.0,11.0,723,0,2015
3,4,3,FLL,SJU,-6.0,16.0,1046,0,2015
3,30,1,LGA,RDU,13.0,35.0,431,1,2015
3,31,2,MHK,DFW,-5.0,12.0,431,0,2015
3,11,3,LGA,BOS,-6.0,18.0,184,0,2015
3,1,7,AUS,SFO,4.0,12.0,1504,0,2015
3,2,1,DTW,ATL,0.0,22.0,594,0,2015
3,15,7,ATL,CID,-5.0,18.0,694,0,2015
3,9,1,JAX,ATL,-4.0,14.0,270,0,2015
3,1,7,ATL,MIA,-1.0,14.0,594,0,2015
3,2,1,LGA,MSP,110.0,23.0,1020,1,2015
3,1,7,ATL,MCO,-2.0,37.0,404,1,2015
3,12,4,MKE,LGA,-3.0,19.0,738,1,2015
3,16,1,CMI,ORD,-10.0,10.0,135,0,2015
3,28,6,HOU,CRP,-1.0,9.0,187,0,2015
3,14,6,BWI,FLL,0.0,23.0,925,0,2015
3,26,4,IAH,SAN,36.0,15.0,1303,1,2015
3,5,4,TPA,DCA,5.0,10.0,814,0,2015
3,29,7,ATL,BTR,-6.0,15.0,448,0,2015
3,18,3,LAS,DTW,-3.0,15.0,1749,0,2015
3,2,1,IAH,ORD,-1.0,21.0,925,1,2015
3,22,7,BRO,IAH,-3.0,11.0,308,0,2015
3,7,6,ORD,DEN,-3.0,18.0,888,0,2015
3,27,5,IAH,DSM,-5.0,12.0,802,0,2015
3,30,1,EWR,DCA,28.0,32.0,199,1,2015
3,16,1,PHX,ATL,-4.0,18.0,1587,0,2015
3,7,6,PBI,BOS,13.0,13.0,1197,0,2015
3,13,5,CMH,RSW,-1.0,8.0,930,0,2015
3,31,2,LGA,HOU,36.0,32.0,1428,1,2015
3,29,7,CLT,DFW,-4.0,9.0,936,0,2015
3,13,5,MCO,PHX,18.0,15.0,1849,0,2015
3,6,5,BHM,DEN,-11.0,15.0,1083,0,2015
3,23,1,AEX,ATL,-10.0,6.0,500,0,2015
3,8,7,DSM,DEN,-7.0,11.0,589,0,2015
3,5,4,SLC,CPR,-13.0,20.0,320,0,2015
3,7,6,MCO,JFK,-2.0,20.0,944,0,2015
3,6,5,PHX,PDX,-10.0,22.0,1009,0,2015
3,28,6,SLC,ABQ,-4.0,18.0,493,0,2015
3,2,1,DTW,RSW,25.0,8.0,1084,0,2015
3,7,6,SAN,LAX,-13.0,18.0,109,0,2015
3,23,1,LAS,ORD,123.0,20.0,1514,1,2015
3,27,5,ATL,FLL,5.0,13.0,581,1,2015
3,24,2,LGA,BNA,0.0,39.0,764,0,2015
3,3,2,FLL,DCA,-3.0,12.0,899,0,2015
3,15,7,ORD,PHX,-7.0,13.0,1440,0,2015
3,20,5,BWI,LAS,228.0,11.0,2106,1,2015
3,1,7,FCA,SLC,-16.0,11.0,531,0,2015
3,9,1,MCO,SAN,-4.0,11.0,2149,0,2015
3,15,7,MGM,ATL,-4.0,13.0,147,0,2015
3,11,3,EWR,DFW,-3.0,16.0,1372,0,2015
3,14,6,DFW,CVG,-3.0,16.0,812,0,2015
