FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
400001,DFW,MAF
400002,FNT,MSP
400003,MCI,MSP
400004,LAX,SEA
400005,SEA,PDX
400006,ELM,ORD
400007,TUS,DEN
400008,TUS,SLC
400009,STL,SAT
400010,IAD,LAX
400011,OKC,HOU
400012,BRO,IAH
400013,PIT,HOU
400014,ORD,CLT
400015,IAH,MSY
400016,EWR,MHT
400017,DAY,ORD
400018,MSP,DEN
400019,LGA,DCA
400020,HPN,MCO
400021,SNA,SMF
400022,SEA,SNA
400023,AVP,ATL
400024,DTW,CLT
400025,HOU,MDW
400026,PHL,RSW
400027,LGA,DEN
400028,ORD,TPA
400029,SAN,PHX
400030,RDU,EWR
400031,LAX,SEA
400032,PWM,JFK
400033,LAX,JFK
400034,MSP,STL
400035,CLT,ATL
400036,DFW,CMH
400037,ORD,AVL
400038,OGG,KOA
400039,MIA,EWR
400040,PHX,MSP
400041,LAX,SFO
400042,JFK,BOS
400043,IAH,FLL
400044,ELP,PHX
400045,SLC,MFR
400046,ORD,SJC
400047,ORD,DCA
400048,DFW,SAN
400049,MCI,BNA
400050,BNA,DEN
400051,CLT,IAH
400052,IAH,PHX
400053,DTW,SEA
400054,IAH,ORD
400055,ORD,LAS
400056,IAH,MIA
400057,TPA,MSP
400058,ORD,MBS
400059,LFT,DFW
400060,LAS,MCI
400061,ELP,AUS
400062,DTW,ORF
400063,MCO,DEN
400064,KOA,PDX
400065,ATL,PHL
400066,ORD,SAV
400067,PHX,BNA
400068,DTW,MDW
400069,PHL,MDW
400070,MCO,JFK
400071,BNA,LAX
400072,SLC,TUS
400073,FAT,PHX
400074,LAX,FLL
400075,ORD,GRB
400076,STL,EWR
400077,LAX,JFK
400078,ORD,SRQ
400079,DTW,MDW
400080,DFW,MCI
400081,GSP,ORD
400082,SFO,DFW
400083,DFW,DTW
400084,DFW,LGA
400085,LAS,TPA
400086,ATL,VPS
400087,PHX,IAD
400088,AUS,SFO
400089,ATL,SAN
400090,MSP,DFW
400091,LGA,ORD
400092,SAN,SJC
400093,IAH,BNA
400094,GRB,ORD
400095,CHS,JFK
400096,DCA,MIA
400097,ATL,DFW
400098,MSY,BNA
400099,MSP,MIA
400100,IND,ATL
400101,GRR,STL
400102,LAX,AUS
400103,HOU,BHM
400104,MSP,PSC
400105,ICT,IAH
400106,GSO,ORD
400107,EUG,DEN
400108,PHX,SAT
400109,SAT,ELP
400110,HOU,BNA
400111,LBB,AUS
400112,DCA,BOS
400113,HNL,LAX
400114,SJU,DCA
400115,MCO,ACY
400116,ORD,CMH
400117,SLC,PDX
400118,PDX,SNA
400119,DEN,DFW
400120,ATL,DAL
400121,OKC,DEN
400122,ILM,ATL
400123,ATL,SAV
400124,CLT,MSY
400125,OMA,ORD
400126,BUR,PHX
400127,IAH,PBI
400128,EWR,ATL
400129,DCA,TPA
400130,DEN,LIT
400131,ATL,CMH
400132,ATL,LGA
400133,SAN,DTW
400134,EWR,LAX
400135,SLC,SEA
400136,SNA,DFW
400137,DFW,COS
400138,ATL,TPA
400139,FLL,LAS
400140,ATL,CMH
400141,JFK,MCO
400142,ORD,AZO
400143,DFW,CLL
400144,LAX,EWR
400145,TLH,ATL
400146,MSP,ATL
400147,DEN,STL
400148,JAX,ATL
400149,DFW,MIA
400150,PWM,ATL
400151,MSP,PDX
400152,IAH,SAN
400153,ATL,MSN
400154,ORD,MIA
400155,PHX,DEN
400156,IAH,LFT
400157,KOA,HNL
400158,EUG,SLC
400159,ONT,SFO
400160,MCI,SFO
400161,BOS,PHL
400162,SLC,MCI
400163,ONT,IAH
400164,ATL,HPN
400165,PNS,IAH
400166,DAL,DCA
400167,AGS,ATL
400168,ORD,ATL
400169,STL,PHX
400170,IND,ATL
400171,LNK,DEN
400172,SLC,DEN
400173,PHX,ORD
400174,DFW,DTW
400175,LAX,SFO
400176,IAH,BTR
400177,BUF,BWI
400178,PHL,STL
400179,LAX,SEA
400180,ATL,CID
400181,SLC,MSP
400182,SFO,JFK
400183,LGB,SEA
400184,MSP,MSN
400185,LAS,LAX
400186,MCO,JFK
400187,TPA,BHM
400188,RDU,SFO
400189,EWR,XNA
400190,SLC,RNO
400191,IAH,PHX
400192,BUF,ORD
400193,TPA,DTW
400194,IAH,HRL
400195,PHL,SJU
400196,LAX,DFW
400197,TUL,ORD
400198,ORF,EWR
400199,KOA,SFO
400200,HOU,CRP
400201,DCA,DAL
400202,DEN,BIL
400203,GEG,PHX
400204,MFE,IAH
400205,LGA,SAV
400206,PHL,MYR
400207,TPA,PIT
400208,SLC,LAS
400209,FAT,LAX
400210,SAN,LAX
400211,SEA,ABQ
400212,LAS,PHX
400213,SJU,FLL
400214,IDA,SLC
400215,ORD,MSY
400216,BDL,MCO
400217,DCA,BOS
400218,ORD,SFO
400219,ATL,PBI
400220,SLC,LAS
400221,MSP,DEN
400222,ORD,DCA
400223,SFO,SEA
400224,MDW,LAS
400225,PBI,DCA
400226,MEM,IAH
400227,SAT,SLC
400228,DEN,LAS
400229,BFL,IAH
400230,PHL,PBI
400231,GEG,SEA
400232,OMA,MDW
400233,PDX,LAS
400234,DEN,BWI
400235,IAD,ATL
400236,TPA,PHL
400237,DFW,JAX
400238,RDU,CLT
400239,DFW,SMF
400240,ATL,VLD
400241,EWR,ORD
400242,EWR,BOS
400243,PDX,LAS
400244,DCA,DAL
400245,DEN,ORD
400246,DEN,SEA
400247,OAK,SAN
400248,MSP,GRB
400249,ORD,BOS
400250,LAS,BWI
400251,DEN,MSP
400252,LGA,ATL
400253,LAS,GEG
400254,MSP,OMA
400255,CRW,ATL
400256,LAX,HNL
400257,ATL,LGA
400258,SAN,ORD
400259,SAN,ATL
400260,DEN,DFW
400261,MSP,MDW
400262,AMA,DEN
400263,MDW,LGA
400264,CLT,DFW
400265,DEN,TUS
400266,JFK,MSP
400267,JFK,MCO
400268,BOS,BWI
400269,LAX,TUS
400270,ATL,BWI
400271,EWR,HOU
400272,SFO,ACV
400273,DFW,BOS
400274,LAS,LAX
400275,ATL,RSW
400276,RSW,HPN
400277,LAX,SJC
400278,JFK,PHX
400279,PHX,BFL
400280,LGA,SAV
400281,BOS,EWR
400282,LAX,RDM
400283,IND,DTW
400284,ATL,DTW
400285,COS,ORD
400286,LAS,DEN
400287,ORD,SAN
400288,ELP,AUS
400289,LAS,JFK
400290,PHX,PDX
400291,DTW,DAY
400292,PHX,SEA
400293,MIA,ATL
400294,CLT,ORD
400295,DFW,SLC
400296,IAH,PHX
400297,PHL,MCO
400298,OAK,BUR
400299,ATL,SAT
400300,PHX,STL
400301,SLC,OMA
400302,PDX,SFO
400303,IAD,TPA
400304,ORD,BOS
400305,BWI,MHT
400306,BOS,MSP
400307,LAN,DTW
400308,SAN,LAX
400309,BUF,JFK
400310,BUR,OAK
400311,TPA,ALB
400312,DFW,BTR
400313,DFW,STL
400314,ATW,ORD
400315,MCO,BWI
400316,LAX,ABQ
400317,LAX,PHX
400318,ATL,BWI
400319,LEX,ORD
400320,ATL,ABE
400321,LAX,KOA
400322,PVD,MDW
400323,CPR,DEN
400324,ATL,ORD
400325,ATW,MSP
400326,ATL,SRQ
400327,IAH,CRP
400328,ATL,TRI
400329,LGA,FLL
400330,SLC,MIA
400331,PHX,JFK
400332,ATL,MSP
400333,GRB,ORD
400334,BOS,DEN
400335,MDW,LIT
400336,MCI,MDW
400337,SLC,EKO
400338,ATL,MSY
400339,MKE,ORD
400340,ATL,GRB
400341,BOS,DCA
400342,EWR,SAV
400343,FLL,DCA
400344,LAS,BNA
400345,MCO,GRR
400346,ATL,HOU
400347,JAN,ATL
400348,DAL,AUS
400349,CID,DTW
400350,DIK,MSP
400351,LAX,SLC
400352,ORD,STL
400353,SFO,SNA
400354,MSP,DCA
400355,SFO,DEN
400356,TPA,STL
400357,MDT,MCO
400358,ORD,DCA
400359,SAV,ATL
400360,PHX,PSP
400361,DFW,SFO
400362,ATL,GSO
400363,FLL,ISP
400364,ABR,MSP
400365,ELP,SAT
400366,MSP,CLT
400367,LAS,IAD
400368,DCA,CLT
400369,BUF,BWI
400370,TUS,DEN
400371,PHX,SLC
400372,HOU,MCO
400373,DFW,DEN
400374,BWI,MSY
400375,DEN,FSD
400376,DEN,COS
400377,LAS,BOI
400378,JFK,LAS
400379,SAN,DEN
400380,LAS,SMF
400381,ATL,ILM
400382,HOU,BWI
400383,SFO,SMF
400384,BOS,JAX
400385,TUL,IAH
400386,ECP,DAL
400387,SAN,SMF
400388,LAX,SFO
400389,PIT,CLT
400390,SFO,DFW
400391,OKC,HOU
400392,OKC,DEN
400393,FLL,HPN
400394,ATL,MDW
400395,LAX,FAT
400396,BOS,DFW
400397,BET,ANC
400398,DTW,TPA
400399,BOS,ACY
400400,MCO,ATL
400401,DFW,MKE
400402,LGA,DTW
400403,HNL,KOA
400404,RSW,DEN
400405,MKE,ATL
400406,LAS,HNL
400407,BOS,PHX
400408,LCH,DFW
400409,SLC,SEA
400410,LGA,CLE
400411,DFW,LCH
400412,BOS,BWI
400413,DFW,GJT
400414,ONT,SFO
400415,TUL,DFW
400416,MIA,SLC
400417,SLC,DTW
400418,DEN,MSP
400419,PHL,CLT
400420,ROC,CLT
400421,MCO,SEA
400422,ORD,SLC
400423,LGA,BOS
400424,SFO,OKC
400425,MDW,DEN
400426,TUS,DFW
400427,ATL,LAS
400428,DFW,BNA
400429,BWI,FLL
400430,IAH,DCA
400431,TUS,SFO
400432,CLT,LAS
400433,ROC,CLT
400434,LGA,ORD
400435,LGA,FLL
400436,SFO,PSP
400437,ATL,ORD
400438,SLC,PIH
400439,LAX,EWR
400440,IAH,ELP
400441,BOS,DCA
400442,SRQ,JFK
400443,SJC,DEN
400444,DFW,PDX
400445,LAX,ORD
400446,DAL,LGA
400447,ORD,SYR
400448,DEN,SEA
400449,PBI,BWI
400450,MSY,DAL
400451,ANC,PHX
400452,SFO,SMF
400453,HPN,MCO
400454,DFW,MCI
400455,OAK,SNA
400456,BWI,PVD
400457,SLC,RNO
400458,PIT,CLT
400459,ORD,AUS
400460,MCO,DEN
400461,DTW,ACY
400462,BDL,ATL
400463,PDX,SAN
400464,SAT,ORD
400465,SJU,TPA
400466,RSW,MSP
400467,BLI,HNL
400468,PBI,EWR
400469,GRK,DFW
400470,ORD,SYR
400471,SGU,DEN
400472,CLD,LAX
400473,PVD,RSW
400474,ORD,FAR
400475,LAS,LAX
400476,LGA,STL
400477,CLT,MIA
400478,TPA,MIA
400479,SLC,DEN
400480,SAT,BNA
400481,DFW,SAT
400482,BNA,SAT
400483,ONT,PHX
400484,ATL,MEM
400485,PDX,HNL
400486,DTW,ATL
400487,LAX,SJC
400488,SNA,SEA
400489,RDD,SFO
400490,IAH,GRK
400491,ONT,LAS
400492,BUR,SFO
400493,ATL,JAX
400494,PHX,TUL
400495,GSP,DFW
400496,MIA,ORD
400497,DFW,SFO
400498,TPA,BNA
400499,PHX,RNO
400500,ORD,ATL
400501,CMH,ATL
400502,PHX,LAX
400503,IAH,SAN
400504,MSP,ICT
400505,PHL,MSY
400506,MCO,ATL
400507,TPA,PHL
400508,MSP,STL
400509,MSP,DLH
400510,SEA,FAT
400511,DEN,ABQ
400512,SMF,SEA
400513,CLT,FLL
400514,BFL,IAH
400515,TPA,DEN
400516,JFK,BOS
400517,DFW,ATL
400518,FLL,DCA
400519,IND,MSP
400520,DFW,SEA
400521,DTW,ATL
400522,PSP,SEA
400523,SEA,SNA
400524,DCA,CLE
400525,OGG,HNL
400526,DFW,MGM
400527,MCO,DTW
400528,BDL,CLE
400529,BWI,TPA
400530,PWM,JFK
400531,MLI,ATL
400532,SAT,ORD
400533,ORD,BUF
400534,OGG,PHX
400535,JFK,LAX
400536,LGA,CMH
400537,SAV,ORD
400538,DFW,IAH
400539,ORD,DEN
400540,DCA,ATL
400541,MLI,ORD
400542,PHL,MCO
400543,MIA,JFK
400544,MSP,DEN
400545,ABI,DFW
400546,SAN,PHX
400547,EWR,MSP
400548,OAK,DAL
400549,RAP,DFW
400550,ATL,MDW
400551,DCA,ATL
400552,ORD,SFO
400553,ATL,SAN
400554,AUS,ATL
400555,PHX,HOU
400556,PSP,PHX
400557,JFK,MCO
400558,FLL,DEN
400559,JFK,FLL
400560,DEN,ATL
400561,MCO,PHX
400562,MCO,BOS
400563,ANC,LAX
400564,MEM,TPA
400565,AUS,DFW
400566,ALB,ORD
400567,SEA,PHX
400568,CLL,DFW
400569,SCC,ANC
400570,HNL,ITO
400571,CLT,FLL
400572,IAH,LGA
400573,RNO,SLC
400574,LGA,FLL
400575,SAT,MDW
400576,LAX,ORD
400577,DEN,SMF
400578,SAN,SEA
400579,MSP,MSN
400580,BUR,LAS
400581,CLT,RIC
400582,ORD,MKE
400583,SAN,LAX
400584,IAH,OMA
400585,DCA,LGA
400586,MSP,SLC
400587,MSP,ORD
400588,OGG,SFO
400589,DEN,ATL
400590,BOS,PIT
400591,STL,MCO
400592,SAN,DTW
400593,IAH,ORD
400594,MAF,IAH
400595,STL,ORD
400596,SHV,IAH
400597,ORD,FSD
400598,PHX,HOU
400599,MCI,SAN
400600,SLC,DFW
400601,PHX,OAK
400602,ATL,LGA
400603,GJT,DEN
400604,LAS,DEN
400605,DEN,PHL
