FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
400001,4,19,7,-2.0,26.0,309,0,2015
400002,4,14,2,-9.0,16.0,491,0,2015
400003,4,1,3,-5.0,13.0,393,0,2015
400004,4,5,7,0.0,15.0,954,0,2015
400005,4,9,4,-6.0,16.0,129,0,2015
400006,4,15,3,-1.0,11.0,566,0,2015
400007,4,25,6,-1.0,7.0,639,0,2015
400008,4,10,5,0.0,16.0,601,0,2015
400009,4,10,5,-6.0,7.0,786,0,2015
400010,4,10,5,-2.0,11.0,2288,0,2015
400011,4,22,3,15.0,11.0,419,1,2015
400012,4,21,2,-3.0,10.0,308,0,2015
400013,4,22,3,-3.0,7.0,1131,0,2015
400014,4,8,3,9.0,21.0,599,0,2015
400015,4,6,1,12.0,21.0,305,0,2015
400016,4,5,7,-7.0,16.0,209,0,2015
400017,4,7,2,38.0,10.0,240,1,2015
400018,4,18,6,-2.0,15.0,680,0,2015
400019,4,13,1,-7.0,22.0,214,0,2015
400020,4,21,2,-15.0,10.0,972,0,2015
400021,4,28,2,-5.0,7.0,404,0,2015
400022,4,6,1,-3.0,10.0,978,0,2015
400023,4,19,7,-5.0,14.0,714,0,2015
400024,4,13,1,2.0,14.0,500,0,2015
400025,4,10,5,-2.0,11.0,937,0,2015
400026,4,22,3,2.0,24.0,993,0,2015
400027,4,2,4,6.0,17.0,1620,0,2015
400028,4,6,1,-2.0,17.0,1012,0,2015
400029,4,24,5,45.0,6.0,304,1,2015
400030,4,1,3,-6.0,31.0,416,0,2015
400031,4,14,2,17.0,11.0,954,0,2015
400032,4,30,4,-7.0,22.0,273,0,2015
400033,4,17,5,-6.0,18.0,2475,0,2015
400034,4,15,3,37.0,13.0,448,1,2015
400035,4,23,4,-3.0,17.0,226,0,2015
400036,4,7,2,-10.0,34.0,926,0,2015
400037,4,10,5,0.0,34.0,536,0,2015
400038,4,30,4,-8.0,5.0,84,0,2015
