MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
4,19,7,DFW,MAF,-2.0,26.0,309,0,2015
4,14,2,FNT,MSP,-9.0,16.0,491,0,2015
4,1,3,MCI,MSP,-5.0,13.0,393,0,2015
4,5,7,LAX,SEA,0.0,15.0,954,0,2015
4,9,4,SEA,PDX,-6.0,16.0,129,0,2015
4,15,3,ELM,ORD,-1.0,11.0,566,0,2015
4,25,6,TUS,DEN,-1.0,7.0,639,0,2015
4,10,5,TUS,SLC,0.0,16.0,601,0,2015
4,10,5,STL,SAT,-6.0,7.0,786,0,2015
4,10,5,IAD,LAX,-2.0,11.0,2288,0,2015
4,22,3,OKC,HOU,15.0,11.0,419,1,2015
4,21,2,BRO,IAH,-3.0,10.0,308,0,2015
4,22,3,PIT,HOU,-3.0,7.0,1131,0,2015
4,8,3,ORD,CLT,9.0,21.0,599,0,2015
4,6,1,IAH,MSY,12.0,21.0,305,0,2015
4,5,7,EWR,MHT,-7.0,16.0,209,0,2015
4,7,2,DAY,ORD,38.0,10.0,240,1,2015
4,18,6,MSP,DEN,-2.0,15.0,680,0,2015
4,13,1,LGA,DCA,-7.0,22.0,214,0,2015
4,21,2,HPN,MCO,-15.0,10.0,972,0,2015
4,28,2,SNA,SMF,-5.0,7.0,404,0,2015
4,6,1,SEA,SNA,-3.0,10.0,978,0,2015
4,19,7,AVP,ATL,-5.0,14.0,714,0,2015
4,13,1,DTW,CLT,2.0,14.0,500,0,2015
4,10,5,HOU,MDW,-2.0,11.0,937,0,2015
4,22,3,PHL,RSW,2.0,24.0,993,0,2015
4,2,4,LGA,DEN,6.0,17.0,1620,0,2015
4,6,1,ORD,TPA,-2.0,17.0,1012,0,2015
4,24,5,SAN,PHX,45.0,6.0,304,1,2015
4,1,3,RDU,EWR,-6.0,31.0,416,0,2015
4,14,2,LAX,SEA,17.0,11.0,954,0,2015
