FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
500001,ORD,CAK
500002,CVG,EWR
500003,CLE,MSP
500004,SLC,BNA
500005,MDW,DTW
500006,SAT,DEN
500007,SAT,LAX
500008,JFK,SEA
500009,PHX,FLL
500010,SAN,SEA
500011,BWI,LAX
500012,ONT,DFW
500013,FLL,PHL
500014,SEA,LAX
500015,CLT,DCA
500016,OKC,DEN
500017,DTW,ORF
500018,LBB,DFW
500019,MDW,PHL
500020,IAH,LFT
500021,ITO,HNL
500022,IAH,PHX
500023,MCO,DFW
500024,LAX,SLC
500025,SAN,OAK
500026,BOS,DFW
500027,ATL,SNA
500028,LAS,SAT
500029,FSM,ATL
500030,MRY,LAX
500031,DAL,PHX
500032,OKC,HOU
500033,LAS,OAK
500034,EWR,ORD
500035,SDF,MDW
500036,PHX,OMA
500037,SAT,MDW
500038,PHX,LAX
500039,ATL,ORD
500040,FLL,DAL
500041,BUR,OAK
500042,LAS,PDX
500043,MSY,DTW
500044,RDU,CLT
500045,IAH,LAS
500046,TLH,DFW
500047,PVD,MDW
500048,JFK,IND
500049,LAS,BWI
500050,PHL,ATL
500051,ORD,IAH
500052,DEN,CLT
500053,CLT,RDU
500054,DAL,AMA
500055,SAN,ORD
500056,FCA,SLC
500057,DFW,SJU
500058,CLT,TPA
500059,DCA,MKE
500060,JAX,DFW
500061,ORD,LAX
500062,TPA,MSP
500063,ATL,GSO
500064,DFW,GJT
500065,BOS,JFK
500066,GTF,SLC
500067,DEN,SAN
500068,SNA,SJC
500069,MCO,JFK
500070,CLE,BWI
500071,SDF,ATL
500072,IND,MCO
500073,CLE,BNA
500074,ATL,ORF
500075,ALB,DTW
500076,SLC,GEG
500077,DAL,MSY
500078,ATL,RIC
500079,RSW,PHL
500080,LAS,HOU
500081,AUS,SFO
500082,SDF,BWI
500083,ORD,RIC
500084,DEN,MCO
500085,DTW,STL
500086,GRK,ATL
500087,DCA,DFW
500088,MIA,CLT
500089,CHS,DCA
500090,MSP,DEN
500091,DAL,BWI
500092,STL,LAX
500093,PHX,OAK
500094,PNS,BNA
500095,IAH,BHM
500096,MDW,LAS
500097,EWR,CVG
500098,CLE,DFW
500099,DTW,MSP
500100,TPA,STL
500101,DEN,SNA
500102,PHX,SBA
500103,ORD,PIA
500104,ORD,SFO
500105,SJU,TPA
500106,ITO,HNL
500107,JFK,BTV
500108,LGA,ATL
500109,ATL,BWI
500110,BQN,JFK
500111,MSY,STL
500112,DTW,PHL
500113,MFR,SFO
500114,IAH,SAT
500115,OAK,SNA
500116,LAX,ATL
500117,ATL,DCA
500118,VPS,ATL
500119,ATL,DFW
500120,MIA,MCO
500121,RSW,IAH
500122,FLL,PHL
500123,ATL,LAX
500124,TOL,ORD
500125,BOS,DTW
500126,HNL,LAX
500127,ATL,ORF
500128,AUS,EWR
500129,MCI,PHX
500130,SFO,LAS
500131,LAX,ORD
500132,GCC,DEN
500133,CMH,LAS
500134,SFO,LAX
500135,DEN,FCA
500136,SEA,SFO
500137,DFW,MCI
500138,ORD,JFK
500139,LGA,DCA
500140,PIT,ORD
500141,ROC,ATL
500142,ELP,DAL
500143,SHV,ATL
500144,CID,ATL
500145,ORD,LGA
500146,SFO,SLC
500147,LGA,ORD
500148,CLT,TPA
500149,MSO,MSP
500150,PHX,MSP
500151,MCO,LBE
500152,LGA,ATL
500153,ATL,STL
500154,MCO,DFW
500155,OAK,PHX
500156,SJU,EWR
500157,PHX,LAX
500158,JFK,LAX
500159,BOS,MIA
500160,TPA,MDW
500161,MSP,GRR
500162,TUL,ATL
500163,BOS,MSP
500164,FAT,LAX
500165,PBI,ATL
500166,LAX,SAN
500167,DEN,BFL
500168,PDX,SNA
500169,BWI,DAL
500170,MDW,FLL
500171,MDW,TPA
500172,IAH,PHX
500173,CLT,ATL
500174,FLL,LGA
500175,SAT,DFW
500176,MKE,STL
500177,HOU,DAL
500178,MIA,BDL
500179,DFW,PHL
500180,MCI,MDW
500181,MFR,SLC
500182,SFO,EWR
500183,DFW,SGF
500184,AVP,DTW
500185,ATL,MLB
500186,BUR,SMF
500187,ATL,ABQ
500188,BUR,LAS
500189,MSP,ORD
500190,SFO,PHL
500191,SMF,LAS
500192,LAX,AUS
500193,LAX,DFW
500194,OGG,KOA
500195,EWR,MSN
500196,SLC,DEN
500197,SHV,IAH
500198,DCA,TPA
500199,ORD,CLT
500200,LAX,PIT
500201,SFO,SEA
500202,MIA,DCA
500203,LBB,DEN
500204,BWI,BOS
500205,ATL,PHL
500206,MCI,PHX
500207,SAN,MSP
500208,GRR,DTW
500209,CID,DTW
500210,PBI,DFW
500211,KTN,SEA
500212,MDW,LAX
500213,IAH,FLL
500214,CLT,ATL
500215,MCI,DAL
500216,TYS,IAH
500217,CLT,EWR
500218,ORD,IAD
500219,MIA,MSY
500220,BOS,DTW
500221,EWR,MIA
500222,ORD,BHM
500223,BRW,ANC
500224,LIH,HNL
500225,STL,BNA
500226,ATL,JAN
500227,ICT,DAL
500228,KOA,HNL
500229,SEA,FAI
500230,CLT,BWI
500231,BNA,ATL
500232,BOS,ORD
500233,DFW,XNA
500234,ORD,BOS
500235,JFK,BOS
500236,SEA,SNA
500237,PIA,ORD
500238,ONT,PHX
500239,GNV,ATL
500240,CAE,ATL
500241,IAH,BHM
500242,STL,DAL
500243,MDW,BDL
500244,FLL,ATL
500245,ATL,PBI
500246,DEN,ABQ
500247,MSY,EWR
500248,BZN,SLC
500249,MSP,ORD
500250,FAT,SEA
