FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
500001,5,18,1,-4.0,13.0,343,0,2015
500002,5,24,7,-7.0,9.0,569,0,2015
500003,5,17,7,-10.0,12.0,622,0,2015
500004,5,13,3,2.0,25.0,1404,0,2015
500005,5,29,5,-6.0,9.0,228,0,2015
500006,5,8,5,-4.0,18.0,794,1,2015
500007,5,14,4,73.0,12.0,1211,1,2015
500008,5,15,5,4.0,17.0,2422,0,2015
500009,5,24,7,0.0,9.0,1972,0,2015
500010,5,19,2,25.0,7.0,1050,0,2015
500011,5,22,5,4.0,9.0,2329,1,2015
500012,5,5,2,-9.0,7.0,1188,0,2015
500013,5,31,7,16.0,18.0,992,1,2015
500014,5,11,1,-1.0,13.0,954,1,2015
500015,5,27,3,-4.0,21.0,331,0,2015
500016,5,30,6,-5.0,18.0,495,0,2015
500017,5,12,2,-5.0,23.0,529,0,2015
500018,5,13,3,46.0,5.0,282,1,2015
500019,5,12,2,-5.0,12.0,668,0,2015
500020,5,21,4,8.0,140.0,201,1,2015
500021,5,23,6,3.0,7.0,216,0,2015
500022,5,27,3,28.0,13.0,1009,1,2015
500023,5,15,5,0.0,16.0,985,0,2015
500024,5,28,4,-2.0,19.0,590,0,2015
500025,5,20,3,18.0,9.0,446,0,2015
500026,5,29,5,9.0,13.0,1562,0,2015
500027,5,6,3,-1.0,12.0,1919,0,2015
500028,5,25,1,100.0,8.0,1069,1,2015
500029,5,27,3,0.0,18.0,579,0,2015
500030,5,18,1,-5.0,13.0,266,0,2015
500031,5,14,4,38.0,10.0,879,1,2015
500032,5,7,4,2.0,12.0,419,0,2015
500033,5,17,7,-9.0,27.0,407,0,2015
500034,5,4,1,28.0,12.0,719,0,2015
500035,5,20,3,59.0,12.0,271,1,2015
500036,5,16,6,-2.0,17.0,1037,0,2015
500037,5,9,6,8.0,7.0,1036,0,2015
500038,5,20,3,21.0,13.0,370,1,2015
500039,5,1,5,6.0,16.0,606,0,2015
500040,5,14,4,-2.0,10.0,1108,0,2015
500041,5,31,7,55.0,7.0,325,1,2015
500042,5,14,4,1.0,20.0,763,0,2015
500043,5,31,7,-1.0,10.0,926,0,2015
500044,5,26,2,-3.0,15.0,130,0,2015
500045,5,11,1,22.0,13.0,1222,0,2015
500046,5,11,1,85.0,16.0,767,1,2015
500047,5,16,6,8.0,9.0,842,0,2015
500048,5,1,5,-3.0,26.0,665,0,2015
500049,5,28,4,0.0,11.0,2106,0,2015
500050,5,26,2,103.0,15.0,666,1,2015
500051,5,4,1,0.0,20.0,925,0,2015
500052,5,29,5,9.0,16.0,1337,1,2015
500053,5,18,1,11.0,18.0,130,0,2015
500054,5,30,6,57.0,11.0,323,1,2015
500055,5,16,6,-9.0,21.0,1723,0,2015
500056,5,7,4,-8.0,12.0,531,0,2015
500057,5,28,4,4.0,41.0,2165,1,2015
500058,5,17,7,-4.0,14.0,507,0,2015
500059,5,24,7,-7.0,12.0,634,0,2015
500060,5,21,4,3.0,11.0,918,0,2015
500061,5,16,6,4.0,21.0,1744,0,2015
500062,5,13,3,316.0,12.0,1306,1,2015
500063,5,20,3,-5.0,21.0,306,0,2015
500064,5,3,7,-2.0,15.0,773,0,2015
500065,5,30,6,-3.0,23.0,187,0,2015
500066,5,6,3,-5.0,16.0,463,0,2015
500067,5,5,2,-5.0,14.0,853,0,2015
500068,5,18,1,-1.0,12.0,342,0,2015
500069,5,5,2,-6.0,17.0,944,0,2015
500070,5,31,7,34.0,13.0,314,1,2015
500071,5,21,4,4.0,23.0,321,0,2015
500072,5,22,5,185.0,16.0,829,1,2015
500073,5,7,4,12.0,9.0,448,0,2015
500074,5,29,5,-5.0,25.0,516,0,2015
500075,5,31,7,-5.0,9.0,489,0,2015
500076,5,15,5,-9.0,41.0,546,0,2015
500077,5,15,5,-4.0,13.0,436,0,2015
500078,5,29,5,114.0,16.0,481,1,2015
500079,5,21,4,-5.0,14.0,993,0,2015
500080,5,20,3,-1.0,13.0,1235,0,2015
500081,5,16,6,16.0,16.0,1504,1,2015
500082,5,1,5,-3.0,12.0,495,0,2015
500083,5,19,2,0.0,10.0,642,0,2015
500084,5,23,6,-2.0,11.0,1546,0,2015
500085,5,18,1,-6.0,22.0,440,0,2015
500086,5,30,6,1.0,9.0,803,0,2015
500087,5,31,7,-6.0,11.0,1192,0,2015
500088,5,13,3,49.0,12.0,650,1,2015
500089,5,10,7,-10.0,9.0,444,0,2015
500090,5,14,4,-6.0,14.0,680,0,2015
500091,5,21,4,21.0,9.0,1209,0,2015
500092,5,22,5,16.0,7.0,1592,1,2015
500093,5,27,3,-2.0,14.0,646,0,2015
500094,5,11,1,-1.0,10.0,391,0,2015
500095,5,28,4,-9.0,13.0,562,0,2015
500096,5,31,7,80.0,10.0,1521,1,2015
500097,5,12,2,-6.0,14.0,569,0,2015
500098,5,19,2,-4.0,9.0,1021,0,2015
500099,5,7,4,-4.0,7.0,528,0,2015
500100,5,26,2,-3.0,10.0,869,0,2015
500101,5,17,7,12.0,13.0,846,0,2015
