MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
5,18,1,ORD,CAK,-4.0,13.0,343,0,2015
5,24,7,CVG,EWR,-7.0,9.0,569,0,2015
5,17,7,CLE,MSP,-10.0,12.0,622,0,2015
5,13,3,SLC,BNA,2.0,25.0,1404,0,2015
5,29,5,MDW,DTW,-6.0,9.0,228,0,2015
5,8,5,SAT,DEN,-4.0,18.0,794,1,2015
5,14,4,SAT,LAX,73.0,12.0,1211,1,2015
5,15,5,JFK,SEA,4.0,17.0,2422,0,2015
5,24,7,PHX,FLL,0.0,9.0,1972,0,2015
5,19,2,SAN,SEA,25.0,7.0,1050,0,2015
5,22,5,BWI,LAX,4.0,9.0,2329,1,2015
5,5,2,ONT,DFW,-9.0,7.0,1188,0,2015
5,31,7,FLL,PHL,16.0,18.0,992,1,2015
5,11,1,SEA,LAX,-1.0,13.0,954,1,2015
5,27,3,CLT,DCA,-4.0,21.0,331,0,2015
5,30,6,OKC,DEN,-5.0,18.0,495,0,2015
5,12,2,DTW,ORF,-5.0,23.0,529,0,2015
5,13,3,LBB,DFW,46.0,5.0,282,1,2015
5,12,2,MDW,PHL,-5.0,12.0,668,0,2015
5,21,4,IAH,LFT,8.0,140.0,201,1,2015
5,23,6,ITO,HNL,3.0,7.0,216,0,2015
5,27,3,IAH,PHX,28.0,13.0,1009,1,2015
5,15,5,MCO,DFW,0.0,16.0,985,0,2015
5,28,4,LAX,SLC,-2.0,19.0,590,0,2015
5,20,3,SAN,OAK,18.0,9.0,446,0,2015
5,29,5,BOS,DFW,9.0,13.0,1562,0,2015
5,6,3,ATL,SNA,-1.0,12.0,1919,0,2015
5,25,1,LAS,SAT,100.0,8.0,1069,1,2015
5,27,3,FSM,ATL,0.0,18.0,579,0,2015
5,18,1,MRY,LAX,-5.0,13.0,266,0,2015
5,14,4,DAL,PHX,38.0,10.0,879,1,2015
5,7,4,OKC,HOU,2.0,12.0,419,0,2015
5,17,7,LAS,OAK,-9.0,27.0,407,0,2015
5,4,1,EWR,ORD,28.0,12.0,719,0,2015
5,20,3,SDF,MDW,59.0,12.0,271,1,2015
5,16,6,PHX,OMA,-2.0,17.0,1037,0,2015
5,9,6,SAT,MDW,8.0,7.0,1036,0,2015
5,20,3,PHX,LAX,21.0,13.0,370,1,2015
5,1,5,ATL,ORD,6.0,16.0,606,0,2015
5,14,4,FLL,DAL,-2.0,10.0,1108,0,2015
5,31,7,BUR,OAK,55.0,7.0,325,1,2015
5,14,4,LAS,PDX,1.0,20.0,763,0,2015
5,31,7,MSY,DTW,-1.0,10.0,926,0,2015
5,26,2,RDU,CLT,-3.0,15.0,130,0,2015
5,11,1,IAH,LAS,22.0,13.0,1222,0,2015
5,11,1,TLH,DFW,85.0,16.0,767,1,2015
5,16,6,PVD,MDW,8.0,9.0,842,0,2015
5,1,5,JFK,IND,-3.0,26.0,665,0,2015
5,28,4,LAS,BWI,0.0,11.0,2106,0,2015
5,26,2,PHL,ATL,103.0,15.0,666,1,2015
5,4,1,ORD,IAH,0.0,20.0,925,0,2015
5,29,5,DEN,CLT,9.0,16.0,1337,1,2015
5,18,1,CLT,RDU,11.0,18.0,130,0,2015
5,30,6,DAL,AMA,57.0,11.0,323,1,2015
5,16,6,SAN,ORD,-9.0,21.0,1723,0,2015
5,7,4,FCA,SLC,-8.0,12.0,531,0,2015
5,28,4,DFW,SJU,4.0,41.0,2165,1,2015
5,17,7,CLT,TPA,-4.0,14.0,507,0,2015
5,24,7,DCA,MKE,-7.0,12.0,634,0,2015
5,21,4,JAX,DFW,3.0,11.0,918,0,2015
5,16,6,ORD,LAX,4.0,21.0,1744,0,2015
5,13,3,TPA,MSP,316.0,12.0,1306,1,2015
5,20,3,ATL,GSO,-5.0,21.0,306,0,2015
5,3,7,DFW,GJT,-2.0,15.0,773,0,2015
5,30,6,BOS,JFK,-3.0,23.0,187,0,2015
5,6,3,GTF,SLC,-5.0,16.0,463,0,2015
5,5,2,DEN,SAN,-5.0,14.0,853,0,2015
5,18,1,SNA,SJC,-1.0,12.0,342,0,2015
5,5,2,MCO,JFK,-6.0,17.0,944,0,2015
5,31,7,CLE,BWI,34.0,13.0,314,1,2015
5,21,4,SDF,ATL,4.0,23.0,321,0,2015
5,22,5,IND,MCO,185.0,16.0,829,1,2015
5,7,4,CLE,BNA,12.0,9.0,448,0,2015
5,29,5,ATL,ORF,-5.0,25.0,516,0,2015
5,31,7,ALB,DTW,-5.0,9.0,489,0,2015
5,15,5,SLC,GEG,-9.0,41.0,546,0,2015
5,15,5,DAL,MSY,-4.0,13.0,436,0,2015
5,29,5,ATL,RIC,114.0,16.0,481,1,2015
5,21,4,RSW,PHL,-5.0,14.0,993,0,2015
5,20,3,LAS,HOU,-1.0,13.0,1235,0,2015
5,16,6,AUS,SFO,16.0,16.0,1504,1,2015
5,1,5,SDF,BWI,-3.0,12.0,495,0,2015
5,19,2,ORD,RIC,0.0,10.0,642,0,2015
5,23,6,DEN,MCO,-2.0,11.0,1546,0,2015
5,18,1,DTW,STL,-6.0,22.0,440,0,2015
5,30,6,GRK,ATL,1.0,9.0,803,0,2015
5,31,7,DCA,DFW,-6.0,11.0,1192,0,2015
5,13,3,MIA,CLT,49.0,12.0,650,1,2015
5,10,7,CHS,DCA,-10.0,9.0,444,0,2015
5,14,4,MSP,DEN,-6.0,14.0,680,0,2015
5,21,4,DAL,BWI,21.0,9.0,1209,0,2015
5,22,5,STL,LAX,16.0,7.0,1592,1,2015
5,27,3,PHX,OAK,-2.0,14.0,646,0,2015
5,11,1,PNS,BNA,-1.0,10.0,391,0,2015
5,28,4,IAH,BHM,-9.0,13.0,562,0,2015
5,31,7,MDW,LAS,80.0,10.0,1521,1,2015
5,12,2,EWR,CVG,-6.0,14.0,569,0,2015
5,19,2,CLE,DFW,-4.0,9.0,1021,0,2015
5,7,4,DTW,MSP,-4.0,7.0,528,0,2015
5,26,2,TPA,STL,-3.0,10.0,869,0,2015
5,17,7,DEN,SNA,12.0,13.0,846,0,2015
5,24,7,PHX,SBA,-7.0,23.0,455,0,2015
5,1,5,ORD,PIA,-6.0,12.0,130,0,2015
5,9,6,ORD,SFO,15.0,14.0,1846,0,2015
5,30,6,SJU,TPA,10.0,17.0,1237,0,2015
5,5,2,ITO,HNL,-11.0,7.0,216,0,2015
5,26,2,JFK,BTV,-4.0,30.0,266,0,2015
5,12,2,LGA,ATL,-2.0,25.0,762,0,2015
5,22,5,ATL,BWI,0.0,10.0,577,0,2015
5,5,2,BQN,JFK,0.0,11.0,1576,0,2015
5,21,4,MSY,STL,-3.0,9.0,604,0,2015
5,3,7,DTW,PHL,-6.0,22.0,453,0,2015
5,23,6,MFR,SFO,0.0,27.0,329,0,2015
5,8,5,IAH,SAT,-4.0,18.0,191,0,2015
5,8,5,OAK,SNA,-3.0,7.0,371,0,2015
5,8,5,LAX,ATL,-5.0,25.0,1947,0,2015
5,19,2,ATL,DCA,15.0,12.0,547,0,2015
5,27,3,VPS,ATL,-4.0,14.0,250,0,2015
5,6,3,ATL,DFW,-6.0,10.0,731,0,2015
5,16,6,MIA,MCO,-1.0,14.0,192,0,2015
5,13,3,RSW,IAH,2.0,10.0,861,0,2015
5,5,2,FLL,PHL,-6.0,17.0,992,0,2015
5,13,3,ATL,LAX,-1.0,16.0,1947,0,2015
5,19,2,TOL,ORD,-2.0,20.0,213,0,2015
5,15,5,BOS,DTW,0.0,9.0,632,0,2015
5,6,3,HNL,LAX,-11.0,21.0,2556,0,2015
5,22,5,ATL,ORF,2.0,12.0,516,0,2015
5,22,5,AUS,EWR,-2.0,8.0,1504,0,2015
5,6,3,MCI,PHX,-6.0,12.0,1044,0,2015
5,23,6,SFO,LAS,-7.0,9.0,414,0,2015
5,11,1,LAX,ORD,5.0,12.0,1744,0,2015
5,4,1,GCC,DEN,-4.0,10.0,313,0,2015
5,28,4,CMH,LAS,0.0,8.0,1771,0,2015
5,20,3,SFO,LAX,2.0,23.0,337,0,2015
5,24,7,DEN,FCA,-4.0,17.0,752,0,2015
5,31,7,SEA,SFO,29.0,11.0,679,1,2015
5,19,2,DFW,MCI,-2.0,19.0,460,0,2015
5,1,5,ORD,JFK,1.0,32.0,740,0,2015
5,7,4,LGA,DCA,-1.0,28.0,214,0,2015
5,19,2,PIT,ORD,-2.0,15.0,413,0,2015
5,9,6,ROC,ATL,-3.0,9.0,749,0,2015
5,21,4,ELP,DAL,-6.0,6.0,562,0,2015
5,6,3,SHV,ATL,-3.0,6.0,551,0,2015
5,25,1,CID,ATL,-2.0,19.0,694,0,2015
5,20,3,ORD,LGA,4.0,22.0,733,0,2015
5,4,1,SFO,SLC,23.0,22.0,599,1,2015
5,29,5,LGA,ORD,-4.0,32.0,733,0,2015
5,8,5,CLT,TPA,-4.0,21.0,507,0,2015
5,30,6,MSO,MSP,-2.0,10.0,1013,0,2015
5,27,3,PHX,MSP,131.0,11.0,1276,1,2015
5,20,3,MCO,LBE,183.0,16.0,824,1,2015
5,8,5,LGA,ATL,3.0,17.0,762,0,2015
5,21,4,ATL,STL,-5.0,18.0,484,0,2015
5,22,5,MCO,DFW,-9.0,11.0,985,0,2015
5,11,1,OAK,PHX,0.0,11.0,646,0,2015
5,15,5,SJU,EWR,3.0,13.0,1608,0,2015
5,10,7,PHX,LAX,3.0,16.0,370,0,2015
5,5,2,JFK,LAX,-4.0,16.0,2475,0,2015
5,19,2,BOS,MIA,-1.0,12.0,1258,0,2015
5,15,5,TPA,MDW,39.0,13.0,997,1,2015
5,7,4,MSP,GRR,-1.0,14.0,408,0,2015
5,28,4,TUL,ATL,-2.0,10.0,674,0,2015
5,28,4,BOS,MSP,-5.0,21.0,1124,0,2015
5,2,6,FAT,LAX,35.0,15.0,209,1,2015
5,4,1,PBI,ATL,-4.0,11.0,545,0,2015
5,4,1,LAX,SAN,-3.0,16.0,109,0,2015
5,12,2,DEN,BFL,50.0,17.0,845,1,2015
5,19,2,PDX,SNA,-14.0,18.0,859,0,2015
5,14,4,BWI,DAL,5.0,13.0,1209,0,2015
