FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
600001,DTW,LEX
600002,LAX,DFW
600003,MSP,BWI
600004,SEA,PHX
600005,SNA,PDX
600006,ORD,LIT
600007,DCA,DFW
600008,DSM,MDW
600009,BOS,BWI
600010,CLT,ATL
600011,RIC,MCO
600012,ANC,FAI
600013,LGB,SMF
600014,SJU,BDL
600015,CLT,MSY
600016,SYR,JFK
600017,IAH,SEA
600018,LIH,HNL
600019,LAX,HNL
600020,PHX,MSP
600021,LGA,DEN
600022,ATL,JFK
600023,SNA,OAK
600024,ATL,JAX
600025,ORD,SFO
600026,ALB,FLL
600027,MOB,ATL
600028,ORD,OMA
600029,ATL,ILM
600030,SLC,MCI
600031,PHF,ATL
600032,LIT,ORD
600033,EWR,ORD
600034,MSP,SLC
600035,PNS,ATL
600036,FSD,MSP
600037,DEN,ASE
600038,SMF,PHX
600039,MKE,ATL
600040,LAS,PHX
600041,DFW,LRD
600042,AUS,ORD
600043,RDU,EWR
600044,DFW,BTR
600045,BZN,DEN
600046,MIA,SJU
600047,ATL,ANC
600048,LAS,LAX
600049,MSY,MCO
600050,MCO,JFK
600051,IAH,SLC
600052,ORD,RSW
600053,LAS,ORD
600054,LAS,BUR
600055,LAS,AMA
600056,IAH,EWR
600057,PHX,DEN
600058,RIC,ORD
600059,DTW,MDW
600060,LAS,LAX
600061,DFW,DTW
600062,MSP,ISN
600063,LAX,SJC
600064,ATL,GSO
600065,PHX,SLC
600066,BWI,ECP
600067,GCK,DFW
600068,DFW,SHV
600069,ORD,MSP
600070,HPN,ATL
600071,RIC,CLT
600072,SJU,EWR
600073,TPA,DCA
600074,JAX,ORD
600075,EWR,MSY
600076,SFO,MSP
600077,SYR,JFK
600078,MDW,CMH
600079,ORD,HNL
600080,MSP,IND
600081,GTF,DEN
600082,JFK,SJU
600083,RDM,DEN
600084,ATL,DCA
600085,BOS,DTW
600086,MSP,EWR
600087,LAX,DFW
600088,MSP,SJC
600089,DCA,MIA
600090,BOS,LAX
600091,BDL,DEN
600092,CVG,FLL
600093,DFW,LAW
600094,HOU,ECP
600095,SEA,MDW
600096,AUS,IAH
600097,RNO,SFO
600098,LGA,BOS
600099,PHL,ORD
600100,MDW,MHT
600101,IAH,TYR
600102,DFW,RDU
600103,HOU,DAL
600104,LAX,SFO
600105,DFW,ASE
600106,OAK,OGG
600107,COD,SLC
600108,LAX,SBP
600109,PHX,SLC
600110,TUS,MDW
600111,SAN,ATL
600112,FLL,ORD
600113,BOS,LAS
600114,OAK,LAX
600115,DFW,XNA
600116,SNA,IAH
600117,MCO,DCA
600118,RSW,STL
600119,LAX,CLE
600120,RDU,ATL
600121,DFW,SAT
600122,SLC,LAX
600123,BWI,DEN
600124,ORD,LIT
600125,GSO,ATL
600126,DFW,DEN
600127,BWI,PHX
600128,MKE,ORD
600129,IND,LAS
600130,DEN,OMA
600131,SEA,LAX
600132,MSY,ATL
600133,DEN,SAN
600134,MCO,BWI
600135,PHX,BUR
600136,SFO,JFK
600137,DAL,LGA
600138,EWR,RSW
600139,DEN,PSP
600140,LAX,LAS
600141,FLL,IAH
600142,AUS,LAX
600143,ATL,SAV
600144,MCO,BWI
600145,PHL,IAH
600146,ATL,MLB
600147,CLT,EWR
600148,HOU,OKC
600149,LAX,SJC
600150,PHX,SBP
600151,DTW,BOS
600152,SEA,JNU
600153,SGF,DEN
600154,ORD,MIA
600155,TYR,DFW
600156,IAH,SAN
600157,HNL,PDX
600158,ATL,SGF
600159,SLC,ONT
600160,BWI,ATL
600161,PBI,ATL
600162,AGS,ATL
600163,DCA,DFW
600164,ATL,GSP
600165,LGA,ORF
600166,SFO,SEA
600167,LAX,SLC
600168,PBI,DCA
600169,JFK,AUS
600170,ATL,BTR
600171,BNA,DCA
600172,DTW,GRR
600173,DEN,GTF
600174,GSP,ATL
600175,MIA,IAH
600176,PHX,SAN
600177,GRR,IAH
600178,DCA,ORD
600179,PSP,SLC
600180,CAE,DFW
600181,MDW,MCO
600182,DEN,TPA
600183,BOS,MCO
600184,CVG,MIA
600185,IAH,BWI
600186,DFW,IAH
600187,ATL,BTR
600188,SLC,MFR
600189,HOU,OAK
600190,MCI,FLL
600191,IAH,JAN
600192,MKE,TPA
600193,MSP,LGA
600194,PSP,LAX
600195,DFW,JAN
600196,STL,MDW
600197,IDA,SLC
600198,OKC,BWI
600199,STL,FLL
600200,HOU,HRL
600201,BOS,ORD
600202,ATL,MKE
600203,CLT,LGA
600204,FSM,ATL
600205,MCI,DAL
600206,ORD,BUF
600207,LAX,STL
600208,ORD,BDL
600209,ACY,RSW
600210,TPA,MDW
600211,ORD,BWI
600212,LAN,ORD
600213,SAN,LAS
600214,DFW,MIA
600215,ORD,LEX
600216,MCO,ATL
600217,SJU,PHL
