FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
600001,6,24,3,0.0,15.0,296,0,2015
600002,6,10,3,-3.0,24.0,1235,0,2015
600003,6,11,4,6.0,17.0,936,0,2015
600004,6,14,7,-3.0,19.0,1107,0,2015
600005,6,1,1,-5.0,7.0,859,0,2015
600006,6,3,3,-2.0,14.0,552,0,2015
600007,6,2,2,0.0,33.0,1192,0,2015
600008,6,9,2,-7.0,10.0,306,0,2015
600009,6,3,3,-1.0,25.0,369,0,2015
600010,6,22,1,-6.0,29.0,226,0,2015
600011,6,23,2,-7.0,9.0,667,0,2015
600012,6,8,1,-7.0,16.0,261,0,2015
600013,6,19,5,-2.0,13.0,387,0,2015
600014,6,25,4,0.0,11.0,1666,0,2015
600015,6,23,2,-4.0,21.0,651,0,2015
600016,6,2,2,-11.0,10.0,209,0,2015
600017,6,11,4,101.0,18.0,1874,1,2015
600018,6,12,5,-2.0,6.0,102,0,2015
600019,6,30,2,-3.0,33.0,2556,0,2015
600020,6,28,7,-5.0,13.0,1276,0,2015
600021,6,5,5,36.0,24.0,1620,1,2015
600022,6,24,3,7.0,22.0,760,0,2015
600023,6,5,5,-6.0,23.0,371,0,2015
600024,6,3,3,64.0,12.0,270,1,2015
600025,6,17,3,75.0,23.0,1846,1,2015
600026,6,19,5,-4.0,8.0,1204,0,2015
600027,6,22,1,-28.0,10.0,302,0,2015
600028,6,12,5,-1.0,36.0,416,0,2015
600029,6,24,3,-2.0,19.0,377,0,2015
600030,6,28,7,-6.0,16.0,920,0,2015
600031,6,25,4,108.0,16.0,508,1,2015
600032,6,13,6,0.0,12.0,552,0,2015
600033,6,7,7,25.0,29.0,719,1,2015
600034,6,16,2,1.0,17.0,991,0,2015
600035,6,18,4,58.0,23.0,271,1,2015
600036,6,29,1,-9.0,12.0,196,0,2015
600037,6,21,7,215.0,23.0,125,1,2015
600038,6,25,4,10.0,10.0,647,0,2015
600039,6,19,5,4.0,23.0,669,0,2015
600040,6,7,7,-4.0,9.0,255,0,2015
600041,6,17,3,29.0,14.0,396,1,2015
600042,6,28,7,0.0,11.0,978,0,2015
600043,6,16,2,0.0,21.0,416,0,2015
600044,6,1,1,-2.0,19.0,383,0,2015
600045,6,22,1,-14.0,8.0,524,0,2015
600046,6,23,2,-1.0,10.0,1045,0,2015
600047,6,9,2,-2.0,41.0,3417,0,2015
600048,6,17,3,-1.0,9.0,236,0,2015
600049,6,29,1,0.0,10.0,551,0,2015
600050,6,3,3,-8.0,17.0,944,0,2015
600051,6,27,6,49.0,11.0,1195,1,2015
600052,6,18,4,172.0,41.0,1120,1,2015
600053,6,21,7,65.0,16.0,1514,1,2015
600054,6,1,1,-4.0,8.0,223,0,2015
600055,6,18,4,4.0,10.0,758,0,2015
600056,6,18,4,41.0,27.0,1400,1,2015
600057,6,22,1,91.0,6.0,602,1,2015
600058,6,30,2,-8.0,15.0,642,0,2015
600059,6,18,4,6.0,36.0,228,1,2015
600060,6,27,6,30.0,15.0,236,1,2015
600061,6,5,5,-6.0,17.0,986,0,2015
600062,6,7,7,-4.0,20.0,546,0,2015
600063,6,28,7,13.0,18.0,308,0,2015
600064,6,10,3,122.0,13.0,306,1,2015
600065,6,29,1,-6.0,14.0,507,0,2015
600066,6,7,7,-1.0,12.0,798,0,2015
600067,6,30,2,-18.0,7.0,404,0,2015
