MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
6,24,3,DTW,LEX,0.0,15.0,296,0,2015
6,10,3,LAX,DFW,-3.0,24.0,1235,0,2015
6,11,4,MSP,BWI,6.0,17.0,936,0,2015
6,14,7,SEA,PHX,-3.0,19.0,1107,0,2015
6,1,1,SNA,PDX,-5.0,7.0,859,0,2015
6,3,3,ORD,LIT,-2.0,14.0,552,0,2015
6,2,2,DCA,DFW,0.0,33.0,1192,0,2015
6,9,2,DSM,MDW,-7.0,10.0,306,0,2015
6,3,3,BOS,BWI,-1.0,25.0,369,0,2015
6,22,1,CLT,ATL,-6.0,29.0,226,0,2015
6,23,2,RIC,MCO,-7.0,9.0,667,0,2015
6,8,1,ANC,FAI,-7.0,16.0,261,0,2015
6,19,5,LGB,SMF,-2.0,13.0,387,0,2015
6,25,4,SJU,BDL,0.0,11.0,1666,0,2015
6,23,2,CLT,MSY,-4.0,21.0,651,0,2015
6,2,2,SYR,JFK,-11.0,10.0,209,0,2015
6,11,4,IAH,SEA,101.0,18.0,1874,1,2015
6,12,5,LIH,HNL,-2.0,6.0,102,0,2015
6,30,2,LAX,HNL,-3.0,33.0,2556,0,2015
6,28,7,PHX,MSP,-5.0,13.0,1276,0,2015
6,5,5,LGA,DEN,36.0,24.0,1620,1,2015
6,24,3,ATL,JFK,7.0,22.0,760,0,2015
6,5,5,SNA,OAK,-6.0,23.0,371,0,2015
6,3,3,ATL,JAX,64.0,12.0,270,1,2015
6,17,3,ORD,SFO,75.0,23.0,1846,1,2015
6,19,5,ALB,FLL,-4.0,8.0,1204,0,2015
6,22,1,MOB,ATL,-28.0,10.0,302,0,2015
6,12,5,ORD,OMA,-1.0,36.0,416,0,2015
6,24,3,ATL,ILM,-2.0,19.0,377,0,2015
6,28,7,SLC,MCI,-6.0,16.0,920,0,2015
6,25,4,PHF,ATL,108.0,16.0,508,1,2015
6,13,6,LIT,ORD,0.0,12.0,552,0,2015
6,7,7,EWR,ORD,25.0,29.0,719,1,2015
6,16,2,MSP,SLC,1.0,17.0,991,0,2015
6,18,4,PNS,ATL,58.0,23.0,271,1,2015
6,29,1,FSD,MSP,-9.0,12.0,196,0,2015
6,21,7,DEN,ASE,215.0,23.0,125,1,2015
6,25,4,SMF,PHX,10.0,10.0,647,0,2015
6,19,5,MKE,ATL,4.0,23.0,669,0,2015
6,7,7,LAS,PHX,-4.0,9.0,255,0,2015
