FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
700001,DCA,BOS
700002,MSP,GRB
700003,LIH,HNL
700004,HRL,HOU
700005,BOS,LGA
700006,SFO,LAX
700007,AUS,CLT
700008,SLC,LWS
700009,ATL,MSP
700010,BOS,LGA
700011,RDU,BNA
700012,STL,DFW
700013,BNA,ATL
700014,AEX,ATL
700015,ORD,ACY
700016,DAY,ORD
700017,CLE,LGA
700018,PNS,DFW
700019,ORD,OAK
700020,XNA,IAH
700021,ORD,DBQ
700022,PHX,SLC
700023,ORD,TVC
700024,CLT,MCO
700025,SNA,SEA
700026,KTN,SEA
700027,DFW,TUS
700028,MCI,MCO
700029,MSP,GRB
700030,SLC,PHX
700031,EWR,BOS
700032,BNA,PHX
700033,LAS,MDW
700034,DTW,PHX
700035,LAS,ATL
700036,DAL,HOU
700037,DTW,ORD
700038,IAH,SAN
700039,PHL,CLT
700040,BUR,LAS
700041,RSW,PIT
700042,ATL,HSV
700043,MCO,EWR
700044,DCA,LGA
700045,ROW,DFW
700046,HNL,DFW
700047,ATL,PNS
700048,DCA,MSP
700049,LAX,HNL
700050,ORD,LAS
700051,LAX,JFK
700052,LAX,MSP
700053,JFK,BUF
700054,LAX,MRY
700055,BZN,DEN
700056,OMA,PHX
700057,MHT,MDW
700058,LIT,ATL
700059,JFK,PWM
700060,ACY,TPA
700061,MIA,EWR
700062,BDL,DCA
700063,IAH,CVG
700064,DFW,LRD
700065,JFK,AUS
700066,SEA,LAX
700067,SEA,MCI
700068,EWR,ATL
700069,OKC,ATL
700070,DTW,EWR
700071,SYR,DTW
700072,ATL,BOS
700073,LAS,PHX
700074,DCA,LAS
700075,LAS,IAH
700076,MSP,MSN
700077,MTJ,ORD
700078,SJC,ORD
700079,CMI,ORD
700080,PHX,LAX
700081,EWR,SEA
700082,SEA,GEG
700083,SAN,OAK
700084,DFW,ABQ
700085,HNL,KOA
700086,PHL,MIA
700087,LAX,SFO
700088,PHX,OGG
700089,CLE,BOS
700090,GST,JNU
700091,JFK,LAX
700092,CID,DFW
700093,TRI,ATL
700094,LAS,ORD
700095,ORD,BNA
700096,ATL,SDF
700097,MSP,EWR
700098,SJC,LAX
700099,ATL,BOS
700100,DFW,DAY
700101,SLC,LAS
700102,ORD,IND
700103,OTZ,ANC
700104,SFO,DFW
700105,CID,ATL
700106,PWM,JFK
700107,DTW,PVD
700108,DFW,DTW
700109,MCO,LAX
700110,DFW,RSW
700111,LGA,MDW
700112,SAT,TPA
700113,MCI,ORD
700114,DTW,CID
700115,ATL,CMH
700116,SAT,SLC
700117,MCI,PDX
700118,LAX,TPA
700119,STL,SEA
700120,MCI,MKE
700121,JAC,SFO
700122,ORD,LIT
700123,MEM,DTW
700124,CLT,FLL
700125,SLC,HLN
700126,DTW,IAH
700127,DEN,LIT
700128,DTW,DAY
700129,LGA,ORD
700130,IAH,SAT
700131,DAL,MEM
700132,FLL,MKE
700133,MIA,ORD
700134,ORD,SFO
700135,DFW,RDU
700136,DCA,HOU
700137,DEN,SAT
700138,ORD,RDU
700139,HNL,OGG
700140,ORD,LGA
700141,ADQ,ANC
700142,PWM,CLT
700143,MDW,DTW
700144,SNA,OAK
700145,PHX,MCI
700146,LAX,PHL
700147,DFW,PHL
700148,SEA,OAK
700149,RDU,MCO
700150,CLT,PVD
700151,MDW,STL
700152,ATL,JAN
700153,ABQ,OAK
700154,DFW,MSP
700155,DFW,LGA
700156,DTW,SLC
700157,BHM,ATL
700158,DFW,LGA
700159,SAN,HOU
700160,ORD,CHO
700161,MDW,OMA
700162,SAT,MSY
700163,ORD,PHX
700164,OKC,ATL
700165,XNA,DFW
700166,IAH,LAS
700167,LAS,PHX
700168,IND,DFW
700169,RNO,LAS
700170,DCA,ORD
700171,IAH,LGA
700172,CAE,DFW
700173,PHX,PDX
700174,ORD,MBS
700175,SYR,CLT
700176,MIA,IAH
700177,SFO,EWR
700178,MSP,SBN
700179,MOT,MSP
700180,MSP,ISN
700181,ATL,GPT
700182,PHX,SFO
