FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
700001,7,8,3,-2.0,24.0,399,1,2015
700002,7,17,5,-6.0,19.0,252,0,2015
700003,7,14,2,-7.0,7.0,102,0,2015
700004,7,12,7,-6.0,24.0,277,0,2015
700005,7,9,4,-10.0,31.0,184,0,2015
700006,7,5,7,-7.0,11.0,337,0,2015
700007,7,31,5,-3.0,11.0,1032,0,2015
700008,7,26,7,-6.0,13.0,461,0,2015
700009,7,13,1,-1.0,19.0,907,0,2015
700010,7,20,1,-1.0,16.0,184,1,2015
700011,7,15,3,90.0,8.0,442,1,2015
700012,7,20,1,29.0,14.0,550,1,2015
700013,7,11,6,-3.0,17.0,214,0,2015
700014,7,26,7,-6.0,10.0,500,0,2015
700015,7,15,3,88.0,10.0,720,1,2015
700016,7,7,2,7.0,22.0,240,1,2015
700017,7,6,1,-12.0,18.0,419,0,2015
700018,7,14,2,24.0,9.0,604,0,2015
700019,7,17,5,65.0,19.0,1836,1,2015
700020,7,20,1,-12.0,10.0,438,0,2015
700021,7,20,1,-5.0,10.0,147,0,2015
700022,7,6,1,36.0,19.0,507,1,2015
700023,7,13,1,3.0,19.0,224,0,2015
700024,7,21,2,20.0,41.0,468,1,2015
700025,7,28,2,-16.0,6.0,978,0,2015
700026,7,2,4,-12.0,12.0,680,0,2015
700027,7,30,4,-2.0,11.0,813,0,2015
700028,7,25,6,0.0,6.0,1072,0,2015
700029,7,26,7,-10.0,11.0,252,0,2015
700030,7,12,7,-3.0,12.0,507,0,2015
700031,7,11,6,-9.0,10.0,200,0,2015
700032,7,19,7,0.0,8.0,1449,0,2015
700033,7,25,6,12.0,11.0,1521,0,2015
700034,7,8,3,36.0,8.0,1671,1,2015
700035,7,28,2,1.0,38.0,1747,1,2015
700036,7,22,3,17.0,7.0,239,0,2015
700037,7,14,2,-1.0,15.0,235,0,2015
700038,7,27,1,32.0,24.0,1303,1,2015
700039,7,9,4,0.0,13.0,449,0,2015
700040,7,1,3,-5.0,14.0,223,0,2015
700041,7,18,6,83.0,12.0,966,1,2015
700042,7,27,1,-6.0,18.0,151,0,2015
700043,7,10,5,12.0,16.0,937,0,2015
700044,7,20,1,15.0,20.0,214,0,2015
700045,7,15,3,0.0,11.0,435,0,2015
700046,7,13,1,-9.0,19.0,3784,0,2015
700047,7,8,3,21.0,16.0,271,1,2015
700048,7,31,5,-4.0,14.0,931,0,2015
700049,7,3,5,28.0,13.0,2556,0,2015
700050,7,18,6,35.0,23.0,1514,1,2015
700051,7,31,5,-1.0,8.0,2475,0,2015
700052,7,2,4,1.0,26.0,1535,0,2015
700053,7,28,2,-6.0,26.0,301,0,2015
700054,7,30,4,43.0,26.0,266,1,2015
700055,7,4,6,-4.0,13.0,524,0,2015
700056,7,24,5,-7.0,9.0,1037,0,2015
700057,7,10,5,-4.0,8.0,838,0,2015
700058,7,19,7,-6.0,11.0,453,0,2015
700059,7,12,7,-2.0,34.0,273,0,2015
700060,7,26,7,-8.0,11.0,913,0,2015
700061,7,27,1,19.0,18.0,1085,1,2015
700062,7,18,6,-5.0,14.0,313,0,2015
700063,7,31,5,6.0,18.0,871,0,2015
700064,7,7,2,0.0,17.0,396,0,2015
700065,7,28,2,-1.0,35.0,1521,0,2015
700066,7,18,6,6.0,14.0,954,1,2015
700067,7,13,1,-1.0,24.0,1489,0,2015
700068,7,8,3,107.0,21.0,746,1,2015
700069,7,8,3,-3.0,9.0,761,0,2015
700070,7,13,1,65.0,15.0,488,1,2015
700071,7,28,2,-1.0,12.0,374,0,2015
700072,7,5,7,-3.0,15.0,946,0,2015
700073,7,15,3,36.0,19.0,255,1,2015
700074,7,1,3,-2.0,21.0,2089,0,2015
700075,7,22,3,-1.0,15.0,1222,0,2015
700076,7,27,1,-2.0,32.0,228,0,2015
700077,7,4,6,-15.0,15.0,1081,0,2015
700078,7,23,4,-1.0,12.0,1829,0,2015
700079,7,24,5,-8.0,17.0,135,0,2015
700080,7,19,7,-3.0,10.0,370,0,2015
700081,7,24,5,-8.0,27.0,2402,0,2015
700082,7,9,4,-3.0,28.0,224,0,2015
700083,7,29,3,-1.0,11.0,446,0,2015
700084,7,19,7,-7.0,18.0,569,0,2015
700085,7,25,6,-3.0,10.0,163,0,2015
700086,7,30,4,-2.0,23.0,1013,0,2015
700087,7,10,5,-3.0,34.0,337,0,2015
700088,7,4,6,73.0,15.0,2845,1,2015
700089,7,1,3,-1.0,12.0,563,0,2015
700090,7,12,7,26.0,3.0,41,1,2015
700091,7,17,5,-4.0,26.0,2475,0,2015
700092,7,10,5,-2.0,8.0,685,0,2015
700093,7,6,1,-5.0,13.0,227,0,2015
700094,7,24,5,-8.0,11.0,1514,0,2015
700095,7,9,4,-8.0,22.0,409,0,2015
700096,7,22,3,-3.0,15.0,321,0,2015
700097,7,25,6,-2.0,15.0,1008,0,2015
700098,7,15,3,39.0,11.0,308,1,2015
700099,7,14,2,10.0,23.0,946,0,2015
700100,7,1,3,3.0,10.0,861,0,2015
700101,7,16,4,-1.0,12.0,368,0,2015
700102,7,24,5,56.0,18.0,177,1,2015
700103,7,15,3,-17.0,5.0,548,0,2015
700104,7,17,5,-3.0,13.0,1464,0,2015
700105,7,4,6,-7.0,20.0,694,1,2015
700106,7,13,1,-8.0,9.0,273,0,2015
700107,7,31,5,16.0,13.0,615,0,2015
700108,7,27,1,-6.0,13.0,986,0,2015
700109,7,14,2,15.0,12.0,2218,0,2015
700110,7,25,6,-1.0,13.0,1017,0,2015
700111,7,10,5,52.0,43.0,725,1,2015
700112,7,26,7,6.0,9.0,972,0,2015
700113,7,9,4,49.0,14.0,403,1,2015
700114,7,13,1,-2.0,22.0,430,0,2015
700115,7,23,4,17.0,15.0,447,1,2015
700116,7,25,6,-4.0,12.0,1087,0,2015
700117,7,23,4,0.0,6.0,1482,0,2015
700118,7,30,4,69.0,28.0,2158,1,2015
700119,7,16,4,1.0,10.0,1709,0,2015
700120,7,18,6,1.0,11.0,436,0,2015
700121,7,9,4,-5.0,19.0,737,0,2015
700122,7,8,3,15.0,15.0,552,0,2015
