MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
7,8,3,DCA,BOS,-2.0,24.0,399,1,2015
7,17,5,MSP,GRB,-6.0,19.0,252,0,2015
7,14,2,LIH,HNL,-7.0,7.0,102,0,2015
7,12,7,HRL,HOU,-6.0,24.0,277,0,2015
7,9,4,BOS,LGA,-10.0,31.0,184,0,2015
7,5,7,SFO,LAX,-7.0,11.0,337,0,2015
7,31,5,AUS,CLT,-3.0,11.0,1032,0,2015
7,26,7,SLC,LWS,-6.0,13.0,461,0,2015
7,13,1,ATL,MSP,-1.0,19.0,907,0,2015
7,20,1,BOS,LGA,-1.0,16.0,184,1,2015
7,15,3,RDU,BNA,90.0,8.0,442,1,2015
7,20,1,STL,DFW,29.0,14.0,550,1,2015
7,11,6,BNA,ATL,-3.0,17.0,214,0,2015
7,26,7,AEX,ATL,-6.0,10.0,500,0,2015
7,15,3,ORD,ACY,88.0,10.0,720,1,2015
7,7,2,DAY,ORD,7.0,22.0,240,1,2015
7,6,1,CLE,LGA,-12.0,18.0,419,0,2015
7,14,2,PNS,DFW,24.0,9.0,604,0,2015
7,17,5,ORD,OAK,65.0,19.0,1836,1,2015
7,20,1,XNA,IAH,-12.0,10.0,438,0,2015
7,20,1,ORD,DBQ,-5.0,10.0,147,0,2015
7,6,1,PHX,SLC,36.0,19.0,507,1,2015
7,13,1,ORD,TVC,3.0,19.0,224,0,2015
7,21,2,CLT,MCO,20.0,41.0,468,1,2015
7,28,2,SNA,SEA,-16.0,6.0,978,0,2015
7,2,4,KTN,SEA,-12.0,12.0,680,0,2015
7,30,4,DFW,TUS,-2.0,11.0,813,0,2015
7,25,6,MCI,MCO,0.0,6.0,1072,0,2015
7,26,7,MSP,GRB,-10.0,11.0,252,0,2015
7,12,7,SLC,PHX,-3.0,12.0,507,0,2015
7,11,6,EWR,BOS,-9.0,10.0,200,0,2015
7,19,7,BNA,PHX,0.0,8.0,1449,0,2015
7,25,6,LAS,MDW,12.0,11.0,1521,0,2015
7,8,3,DTW,PHX,36.0,8.0,1671,1,2015
7,28,2,LAS,ATL,1.0,38.0,1747,1,2015
