FLIGHT_ID,ORIGIN_AIRPORT,DESTINATION_AIRPORT
800001,XNA,ORD
800002,DTW,SLC
800003,AVL,ATL
800004,ORD,MCO
800005,DCA,MCO
800006,LNK,ORD
800007,DFW,LCH
800008,LAX,SEA
800009,KOA,HNL
800010,SFO,LAS
800011,CLT,MCI
800012,LGA,FLL
800013,HOU,PHX
800014,CLT,MIA
800015,DFW,ORD
800016,ATL,BNA
800017,SLC,LGB
800018,SAT,MIA
800019,LAS,DFW
800020,MSN,DTW
800021,PDX,PHX
800022,SAT,ORD
800023,TPA,DFW
800024,ATL,MCO
800025,ATL,GNV
800026,ORD,FCA
800027,LAS,PDX
800028,HOU,DAL
800029,CLT,SMF
800030,AVL,ATL
800031,MSP,LAX
800032,DAY,ORD
800033,IAH,CLT
800034,ATL,FLL
800035,BFL,PHX
800036,RIC,FLL
800037,MDW,LAS
800038,SFO,ORD
800039,RDU,MSP
800040,PHX,BWI
800041,BWI,LAS
800042,MCI,DFW
800043,HNL,LAX
800044,IAH,SFO
800045,DCA,MIA
800046,DCA,JFK
800047,BGR,DTW
800048,DFW,PBI
800049,BNA,IAH
800050,ATL,BWI
800051,DEN,OAK
800052,ATL,CVG
800053,LAX,ATL
800054,SFO,SAN
800055,RDU,BOS
800056,MDW,ATL
800057,LAX,PHX
800058,DFW,SAN
800059,FSM,DFW
800060,ATL,LGA
800061,PHX,GJT
800062,DFW,ORF
800063,ORD,LAX
800064,FLL,BWI
800065,MSP,DEN
800066,GEG,SEA
800067,LGB,SLC
800068,MSP,SFO
800069,DAL,BOS
800070,ANC,SEA
800071,BET,ANC
800072,OKC,DFW
800073,LAX,HNL
800074,PHX,OAK
800075,LAX,MSP
800076,JFK,MIA
800077,SEA,EWR
800078,DFW,DCA
800079,MCO,DCA
800080,COS,DFW
800081,BOS,MYR
800082,LAX,TUS
800083,IAH,BOS
800084,SFO,IND
800085,DFW,BIS
800086,MDW,MSP
800087,CLT,RSW
800088,HNL,KOA
800089,IAH,CLT
800090,ORD,EWR
800091,PHX,LAS
800092,IAD,SAN
800093,LGA,BUF
800094,SLC,PSP
800095,LNK,ORD
800096,MSP,DEN
800097,IAH,SMF
800098,CVG,JFK
800099,DFW,ABQ
800100,ECP,BNA
800101,MSP,BOI
800102,DEN,ABQ
800103,IND,ORD
800104,MSP,MKE
800105,CLT,MIA
800106,JFK,SMF
800107,PHX,LAS
800108,SFO,DEN
800109,AVP,ORD
800110,EWR,SJU
800111,ATL,BQK
800112,BOS,PBI
800113,SMF,SAN
800114,ORD,LAN
800115,ORD,CLE
800116,HOU,LAX
800117,BHM,MCO
800118,MIA,CLT
800119,LIH,SEA
800120,DTW,SBN
800121,DEN,TUS
800122,BZN,MSP
800123,LGA,ATL
800124,LGA,MIA
800125,LAS,EWR
800126,DEN,PHX
800127,AUS,LGB
800128,CLE,ATL
800129,LAX,EWR
800130,LGA,DCA
800131,DFW,JAN
800132,DEN,SNA
800133,FLL,ATL
800134,SFO,OGG
800135,JAX,ATL
800136,PSC,MSP
800137,LAX,EWR
800138,ONT,OAK
800139,TUL,DAL
800140,SMF,DFW
800141,DFW,LAX
800142,BOS,SEA
800143,ORD,FNT
800144,ORF,ATL
800145,SEA,ATL
800146,JFK,BOS
800147,DEN,MCO
800148,BNA,DCA
800149,SAT,STL
800150,EWR,SFO
800151,SJU,JFK
800152,ATL,PNS
800153,GSP,ATL
800154,LAS,ORD
800155,PHX,MRY
800156,PSP,LAX
800157,EWR,CLE
800158,SAN,LAS
800159,BWI,PIT
800160,TUL,PHX
800161,MSY,FLL
800162,GEG,DEN
800163,DEN,SFO
800164,SEA,SNA
800165,PIT,PHX
800166,SJU,BOS
800167,DFW,LBB
800168,LAX,DFW
800169,FLG,PHX
800170,BWI,MKE
800171,DEN,LAR
800172,DFW,SNA
800173,DCA,MKE
800174,BTR,DFW
800175,GSO,EWR
800176,ATL,TUS
800177,BNA,ATL
800178,LAS,SAT
800179,SDF,EWR
800180,MSP,JFK
800181,BOS,TPA
800182,PHX,SAN
800183,ORD,DSM
800184,LGA,CLT
800185,BWI,AUS
800186,MIA,LGA
800187,FLL,DFW
800188,PHL,LAX
800189,BOS,FLL
800190,DEN,DFW
800191,LAS,ATL
800192,IAD,TPA
800193,CHS,ATL
800194,RDU,CLT
800195,MOT,DEN
800196,PBI,ATL
800197,EWR,ATL
800198,IAD,MCO
800199,ATL,SGF
800200,EWR,DFW
800201,JAN,ATL
800202,HSV,ATL
800203,ORD,PIA
800204,JFK,RSW
800205,BWI,JAX
800206,BOS,CLE
800207,ATL,DTW
800208,PHX,BNA
800209,ATL,RIC
800210,ATL,BWI
800211,MHK,DFW
800212,EWR,PVD
800213,DCA,ATL
800214,ATL,SFO
800215,BRO,DFW
800216,CVG,DFW
800217,HNL,SEA
800218,BUR,PHX
800219,SFO,DCA
800220,MKE,MCI
800221,BUR,OAK
800222,DAY,ORD
800223,MSP,PHX
800224,OGG,HNL
800225,DCA,LAX
800226,PIB,DFW
800227,TPA,BUF
800228,DTW,LAS
800229,GRR,ORD
800230,LGA,IAH
800231,MOB,IAH
800232,PIT,ORD
800233,MKE,BWI
800234,TYS,ORD
800235,DCA,BOS
800236,SAN,DEN
800237,SNA,IAH
800238,LAX,SLC
800239,SFO,LAX
800240,DFW,LGA
800241,ATL,TPA
800242,HNL,KOA
800243,SMF,PDX
800244,OMA,DFW
800245,ORD,TUL
800246,MDW,PHX
800247,DEN,GSO
800248,SFO,SEA
800249,RIC,LGA
800250,ATL,FLL
800251,ORD,LEX
800252,LAX,SMF
800253,WRG,KTN
800254,ORH,FLL
800255,SLC,OMA
800256,PHX,GJT
800257,COU,ORD
800258,ABI,DFW
800259,DAL,HOU
800260,DFW,LAX
800261,RSW,IND
800262,LAX,BWI
800263,BNA,ATL
800264,ATL,MSY
800265,RDU,DFW
800266,MIA,TPA
800267,LIH,LAX
800268,LAX,SEA
800269,IDA,SLC
800270,LGA,CLE
800271,CLT,TTN
800272,TPA,CLT
800273,MSP,BNA
800274,LAS,CLT
800275,LGA,FLL
800276,CLT,ATL
800277,LAS,ALB
800278,BWI,DTW
800279,MCO,LAX
800280,MLI,ATL
800281,DEN,LAX
800282,SFO,IAH
800283,ORD,DTW
800284,MCO,MDW
800285,PDX,SMF
800286,BWI,DEN
800287,BWI,IAH
800288,PBI,JFK
800289,SMF,HNL
800290,ORD,BOS
800291,MCI,ORD
800292,PDX,ORD
800293,SLC,AUS
800294,DSM,ORD
800295,ATL,LFT
800296,AUS,ORD
800297,ATL,VLD
800298,STL,EWR
800299,DSM,ORD
800300,BTR,DFW
800301,MIA,DFW
800302,HOU,AUS
800303,LAS,MSP
800304,BWI,DTW
800305,CID,ORD
800306,GNV,ATL
800307,GST,JNU
800308,KOA,HNL
800309,BQN,MCO
800310,CVG,DFW
800311,ATL,SYR
800312,EWR,CLT
800313,PHX,SAN
800314,EWR,ATL
800315,DEN,PHL
800316,DFW,SAF
800317,ANC,DEN
800318,DAL,MCI
800319,IAH,DFW
800320,DFW,VPS
800321,ELP,IAH
800322,IAH,LAS
800323,IAH,SNA
800324,SDF,DFW
800325,MDW,DCA
800326,PBI,ATL
800327,CLT,ORD
800328,RSW,ATL
800329,DFW,LFT
800330,SEA,BLI
800331,TPA,MCI
800332,STL,MSP
800333,MSP,RHI
800334,BOI,OAK
800335,TPA,ATL
800336,DEN,PHX
800337,JFK,SLC
800338,EWR,SFO
800339,MSP,PHX
800340,ATL,ROA
800341,GSO,ATL
800342,PHL,BOS
800343,DEN,PHX
800344,BIS,MSP
800345,BUF,LGA
800346,ORD,MSP
800347,ATL,IND
800348,AUS,PHL
800349,PIT,BNA
800350,MSP,PHX
800351,LGA,TPA
800352,CLT,TPA
800353,SFO,LAS
800354,SLC,LAS
800355,CLE,MSP
800356,BWI,CLE
800357,SJC,SNA
800358,SBA,SEA
800359,LAS,BNA
800360,ORD,LEX
800361,SLC,PHX
800362,DCA,MSP
800363,STL,TPA
800364,MFR,SFO
800365,SFO,ORD
800366,BOS,PHL
800367,DFW,VPS
800368,LEX,DFW
800369,DFW,PDX
800370,LGA,ORD
800371,MSP,DCA
800372,IAH,LGA
800373,SFO,IAH
800374,DEN,LAX
800375,PDX,ANC
800376,MDW,SAT
800377,BDL,BWI
800378,DTW,BOS
800379,DFW,SNA
800380,MSY,DAL
800381,DEN,PHX
800382,ATL,PWM
800383,MCO,SLC
800384,GSP,MDW
800385,PHX,DAL
800386,ORD,LNK
800387,MCI,MSP
800388,OMA,DEN
800389,STL,ORD
800390,ONT,LAS
800391,SPI,DFW
800392,LGA,BOS
800393,SFO,JFK
800394,JFK,SFO
800395,SFO,SNA
800396,JFK,LAX
800397,MKE,LAS
800398,DTW,MDT
800399,DEN,BWI
800400,AUS,SFO
800401,ORF,IAH
800402,LAX,OMA
800403,LIT,ORD
800404,DEN,SFO
800405,TPA,CMH
800406,LAX,ORD
800407,DSM,DFW
800408,PDX,PHX
800409,ATL,LAS
800410,ATL,CAK
800411,CRP,HOU
800412,ORD,EWR
800413,PHX,BFL
