FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
800001,8,5,3,42.0,11.0,522,1,2015
800002,8,11,2,-2.0,15.0,1481,0,2015
800003,8,9,7,-5.0,15.0,164,0,2015
800004,8,21,5,-6.0,31.0,1005,0,2015
800005,8,19,3,0.0,20.0,759,0,2015
800006,8,2,7,84.0,9.0,466,1,2015
800007,8,27,4,-8.0,19.0,295,0,2015
800008,8,31,1,6.0,17.0,954,1,2015
800009,8,1,6,0.0,8.0,163,0,2015
800010,8,8,6,16.0,12.0,414,0,2015
800011,8,7,5,-1.0,21.0,808,0,2015
800012,8,16,7,5.0,33.0,1076,0,2015
800013,8,28,5,5.0,7.0,1020,0,2015
800014,8,22,6,-2.0,16.0,650,0,2015
800015,8,1,6,12.0,13.0,802,0,2015
800016,8,26,3,-2.0,9.0,214,0,2015
800017,8,26,3,-5.0,22.0,588,0,2015
800018,8,2,7,-10.0,13.0,1143,0,2015
800019,8,17,1,-4.0,11.0,1055,0,2015
800020,8,1,6,19.0,10.0,311,0,2015
800021,8,8,6,-3.0,13.0,1009,0,2015
800022,8,7,5,7.0,13.0,1041,0,2015
800023,8,1,6,-4.0,11.0,929,0,2015
800024,8,26,3,73.0,26.0,404,1,2015
800025,8,23,7,-2.0,12.0,300,0,2015
800026,8,30,7,-1.0,26.0,1352,0,2015
800027,8,15,6,55.0,9.0,763,1,2015
800028,8,28,5,-6.0,7.0,239,0,2015
800029,8,28,5,48.0,16.0,2244,1,2015
800030,8,17,1,242.0,11.0,164,1,2015
800031,8,25,2,3.0,21.0,1535,0,2015
800032,8,27,4,-9.0,9.0,240,0,2015
800033,8,20,4,-2.0,11.0,912,0,2015
800034,8,4,2,-3.0,19.0,581,0,2015
800035,8,3,1,-7.0,19.0,425,0,2015
800036,8,7,5,35.0,35.0,805,1,2015
800037,8,24,1,6.0,8.0,1521,0,2015
800038,8,16,7,-4.0,17.0,1846,0,2015
800039,8,7,5,4.0,11.0,980,0,2015
800040,8,25,2,-4.0,11.0,1999,0,2015
800041,8,10,1,-4.0,24.0,2106,0,2015
800042,8,9,7,3.0,10.0,460,0,2015
800043,8,5,3,24.0,20.0,2556,0,2015
800044,8,2,7,-3.0,35.0,1635,0,2015
800045,8,28,5,-5.0,23.0,919,0,2015
800046,8,4,2,2.0,15.0,213,0,2015
800047,8,14,5,-3.0,12.0,750,0,2015
800048,8,14,5,-3.0,25.0,1102,0,2015
800049,8,14,5,-3.0,10.0,657,0,2015
800050,8,14,5,-3.0,11.0,577,0,2015
800051,8,17,1,68.0,20.0,957,1,2015
800052,8,28,5,-1.0,3.0,373,0,2015
800053,8,19,3,14.0,13.0,1947,0,2015
800054,8,23,7,-3.0,24.0,447,0,2015
800055,8,2,7,-6.0,13.0,612,0,2015
800056,8,15,6,52.0,11.0,591,1,2015
800057,8,24,1,-2.0,32.0,370,0,2015
800058,8,27,4,-5.0,22.0,1171,0,2015
800059,8,28,5,-6.0,10.0,227,0,2015
800060,8,6,4,-1.0,19.0,762,0,2015
800061,8,31,1,-6.0,24.0,438,0,2015
800062,8,7,5,59.0,14.0,1212,1,2015
800063,8,30,7,-3.0,19.0,1744,0,2015
800064,8,7,5,10.0,10.0,925,1,2015
800065,8,18,2,-6.0,18.0,680,0,2015
800066,8,15,6,-5.0,16.0,224,0,2015
800067,8,4,2,8.0,8.0,588,0,2015
800068,8,28,5,-1.0,10.0,1589,0,2015
800069,8,21,5,-5.0,10.0,1554,0,2015
800070,8,12,3,-7.0,16.0,1448,0,2015
800071,8,28,5,67.0,5.0,399,1,2015
800072,8,10,1,7.0,10.0,175,0,2015
800073,8,5,3,0.0,20.0,2556,0,2015
800074,8,22,6,-5.0,14.0,646,0,2015
800075,8,14,5,54.0,22.0,1535,1,2015
800076,8,29,6,8.0,10.0,1089,0,2015
800077,8,11,2,0.0,15.0,2402,0,2015
800078,8,8,6,-4.0,9.0,1192,0,2015
800079,8,17,1,14.0,14.0,759,1,2015
800080,8,15,6,-11.0,18.0,592,0,2015
800081,8,15,6,-8.0,13.0,738,0,2015
800082,8,25,2,5.0,13.0,451,0,2015
800083,8,7,5,0.0,20.0,1597,0,2015
800084,8,9,7,0.0,18.0,1943,0,2015
800085,8,15,6,-3.0,22.0,977,0,2015
800086,8,28,5,80.0,20.0,349,1,2015
800087,8,16,7,-2.0,17.0,600,0,2015
800088,8,12,3,-4.0,19.0,163,0,2015
800089,8,16,7,27.0,39.0,912,1,2015
800090,8,11,2,109.0,26.0,719,1,2015
800091,8,11,2,18.0,59.0,255,1,2015
800092,8,2,7,0.0,10.0,2253,0,2015
800093,8,23,7,17.0,28.0,292,0,2015
800094,8,25,2,0.0,16.0,541,0,2015
800095,8,21,5,0.0,20.0,466,0,2015
800096,8,30,7,-5.0,8.0,680,0,2015
800097,8,12,3,20.0,15.0,1609,0,2015
800098,8,29,6,-8.0,11.0,589,0,2015
800099,8,31,1,-6.0,14.0,569,0,2015
800100,8,25,2,-5.0,9.0,401,0,2015
800101,8,14,5,-5.0,22.0,1142,0,2015
800102,8,3,1,-3.0,10.0,349,0,2015
800103,8,9,7,-6.0,14.0,177,0,2015
800104,8,30,7,16.0,8.0,297,0,2015
800105,8,11,2,-5.0,32.0,650,0,2015
800106,8,7,5,-1.0,18.0,2521,0,2015
800107,8,27,4,-1.0,28.0,255,1,2015
800108,8,16,7,5.0,15.0,967,0,2015
800109,8,27,4,0.0,11.0,632,0,2015
800110,8,17,1,-3.0,16.0,1608,0,2015
800111,8,11,2,-1.0,14.0,238,0,2015
800112,8,10,1,46.0,17.0,1197,1,2015
800113,8,26,3,4.0,10.0,480,0,2015
800114,8,5,3,1.0,9.0,179,0,2015
800115,8,18,2,-3.0,9.0,315,0,2015
800116,8,14,5,17.0,9.0,1390,0,2015
800117,8,3,1,63.0,7.0,479,1,2015
800118,8,14,5,7.0,20.0,650,0,2015
800119,8,18,2,25.0,13.0,2701,1,2015
800120,8,28,5,-6.0,14.0,157,0,2015
800121,8,23,7,-11.0,13.0,639,0,2015
800122,8,11,2,-2.0,9.0,874,0,2015
800123,8,23,7,0.0,34.0,762,0,2015
800124,8,19,3,-2.0,33.0,1096,0,2015
800125,8,30,7,1.0,12.0,2227,0,2015
800126,8,28,5,-2.0,20.0,602,0,2015
800127,8,20,4,14.0,17.0,1226,1,2015
800128,8,3,1,-1.0,11.0,554,0,2015
800129,8,20,4,138.0,20.0,2454,1,2015
800130,8,7,5,-1.0,36.0,214,0,2015
800131,8,19,3,168.0,25.0,408,1,2015
800132,8,20,4,30.0,8.0,846,1,2015
800133,8,12,3,14.0,24.0,581,0,2015
800134,8,20,4,-4.0,12.0,2338,0,2015
800135,8,18,2,-4.0,14.0,270,0,2015
800136,8,9,7,-5.0,15.0,1254,0,2015
800137,8,26,3,2.0,9.0,2454,0,2015
800138,8,5,3,1.0,7.0,362,0,2015
800139,8,15,6,-7.0,11.0,237,0,2015
800140,8,27,4,0.0,23.0,1431,1,2015
800141,8,7,5,-2.0,13.0,1235,0,2015
800142,8,30,7,-2.0,20.0,2496,0,2015
800143,8,24,1,-2.0,9.0,223,0,2015
800144,8,16,7,-6.0,15.0,516,0,2015
800145,8,8,6,-2.0,12.0,2182,0,2015
800146,8,28,5,-7.0,9.0,187,0,2015
800147,8,3,1,3.0,18.0,1546,0,2015
800148,8,19,3,-5.0,12.0,562,0,2015
800149,8,3,1,0.0,11.0,786,0,2015
800150,8,21,5,24.0,15.0,2565,0,2015
800151,8,20,4,4.0,12.0,1598,0,2015
800152,8,17,1,-2.0,13.0,271,0,2015
800153,8,21,5,-4.0,36.0,153,0,2015
800154,8,26,3,-4.0,13.0,1514,0,2015
800155,8,26,3,-8.0,15.0,598,0,2015
800156,8,24,1,-9.0,32.0,110,0,2015
800157,8,16,7,13.0,31.0,404,0,2015
800158,8,1,6,13.0,10.0,258,0,2015
800159,8,12,3,0.0,33.0,210,1,2015
800160,8,25,2,72.0,8.0,935,1,2015
800161,8,5,3,4.0,7.0,674,0,2015
800162,8,12,3,-4.0,12.0,836,0,2015
800163,8,7,5,60.0,19.0,967,1,2015
800164,8,12,3,-2.0,19.0,978,0,2015
800165,8,21,5,-6.0,15.0,1814,0,2015
800166,8,29,6,-2.0,9.0,1674,0,2015
800167,8,22,6,-8.0,16.0,282,0,2015
800168,8,17,1,86.0,14.0,1235,1,2015
800169,8,3,1,-7.0,16.0,119,0,2015
800170,8,24,1,1.0,9.0,641,0,2015
800171,8,10,1,-4.0,14.0,113,0,2015
800172,8,17,1,-4.0,16.0,1205,0,2015
800173,8,9,7,135.0,11.0,634,1,2015
800174,8,18,2,56.0,16.0,383,1,2015
800175,8,16,7,-11.0,21.0,445,1,2015
800176,8,18,2,32.0,37.0,1541,1,2015
800177,8,25,2,-6.0,27.0,214,0,2015
800178,8,3,1,8.0,11.0,1069,0,2015
800179,8,18,2,-1.0,10.0,642,0,2015
800180,8,26,3,-3.0,10.0,1029,0,2015
