MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
8,5,3,XNA,ORD,42.0,11.0,522,1,2015
8,11,2,DTW,SLC,-2.0,15.0,1481,0,2015
8,9,7,AVL,ATL,-5.0,15.0,164,0,2015
8,21,5,ORD,MCO,-6.0,31.0,1005,0,2015
8,19,3,DCA,MCO,0.0,20.0,759,0,2015
8,2,7,LNK,ORD,84.0,9.0,466,1,2015
8,27,4,DFW,LCH,-8.0,19.0,295,0,2015
8,31,1,LAX,SEA,6.0,17.0,954,1,2015
8,1,6,KOA,HNL,0.0,8.0,163,0,2015
8,8,6,SFO,LAS,16.0,12.0,414,0,2015
8,7,5,CLT,MCI,-1.0,21.0,808,0,2015
8,16,7,LGA,FLL,5.0,33.0,1076,0,2015
8,28,5,HOU,PHX,5.0,7.0,1020,0,2015
8,22,6,CLT,MIA,-2.0,16.0,650,0,2015
8,1,6,DFW,ORD,12.0,13.0,802,0,2015
8,26,3,ATL,BNA,-2.0,9.0,214,0,2015
8,26,3,SLC,LGB,-5.0,22.0,588,0,2015
8,2,7,SAT,MIA,-10.0,13.0,1143,0,2015
8,17,1,LAS,DFW,-4.0,11.0,1055,0,2015
8,1,6,MSN,DTW,19.0,10.0,311,0,2015
8,8,6,PDX,PHX,-3.0,13.0,1009,0,2015
8,7,5,SAT,ORD,7.0,13.0,1041,0,2015
8,1,6,TPA,DFW,-4.0,11.0,929,0,2015
8,26,3,ATL,MCO,73.0,26.0,404,1,2015
8,23,7,ATL,GNV,-2.0,12.0,300,0,2015
8,30,7,ORD,FCA,-1.0,26.0,1352,0,2015
8,15,6,LAS,PDX,55.0,9.0,763,1,2015
8,28,5,HOU,DAL,-6.0,7.0,239,0,2015
8,28,5,CLT,SMF,48.0,16.0,2244,1,2015
8,17,1,AVL,ATL,242.0,11.0,164,1,2015
8,25,2,MSP,LAX,3.0,21.0,1535,0,2015
8,27,4,DAY,ORD,-9.0,9.0,240,0,2015
